Económica;Explicación;Total (miles euros);Total (euros)
35;Intereses de demora y otros gastos financieros;16,31;16.310,00
353;Intereses de demora por sentencias, recursos y reclamaciones;16,31;16.310,00
—;TOTAL GASTOS FINANCIEROS;16,31;16.310,00
44;Compensación a empresas públicas o privadas por servicios de navegaciones de interés público;15.433,34;15.433.340,00
442;Detalle de la compensación anterior;15.433,34;15.433.340,00
48;Bonificaciones a familias e instituciones sin fines de lucro;168.499,27;168.499.270,00
481;Bonificación a residentes no peninsulares (traslados marítimos);158.499,27;158.499.270,00
484;Bonificaciones en billetes marítimos para familias numerosas;10.000,00;10.000.000,00
—;TOTAL TRANSFERENCIAS CORRIENTES;183.932,61;183.932.610,00
—;TOTAL DIRECCIÓN GENERAL DE MARINA MERCANTE;183.948,92;183.948.920,00
—;TOTAL PROGRAMA 441N – Subvenciones y apoyo al transporte marítimo;183.948,92;183.948.920,00
