Orgánica;Económica;Explicación;Total (miles de euros);Total (euros)
17.03;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;110.000,00;110.000.000,00
17.03;431;A la CNMC para el Fondo de financiación del Servicio Postal Universal;110.000,00;110.000.000,00
17.03;;TOTAL TRANSFERENCIAS CORRIENTES;110.000,00;110.000.000,00
17.03;;TOTAL SECRETARÍA GENERAL TÉCNICA;110.000,00;110.000.000,00
17.18;41;A Organismos Autónomos;2.040,21;2.040.210,00
17.18;412;Centro Nacional de Información Geográfica (CNIG);2.040,21;2.040.210,00
17.18;;TOTAL TRANSFERENCIAS CORRIENTES;2.040,21;2.040.210,00
17.18;71;A Organismos Autónomos;2.520,00;2.520.000,00
17.18;712;Centro Nacional de Información Geográfica (CNIG);2.520,00;2.520.000,00
17.18;;TOTAL TRANSFERENCIAS DE CAPITAL;2.520,00;2.520.000,00
17.18;;TOTAL DIRECCIÓN GENERAL DEL INSTITUTO GEOGRÁFICO NACIONAL;4.560,21;4.560.210,00
17.20;41;A Organismos Autónomos;12.897,90;12.897.900,00
17.20;410;Centro de Estudios y Experimentación de Obras Públicas (CEDEX);12.897,90;12.897.900,00
17.20;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;6.585,41;6.585.410,00
17.20;431;Agencia Estatal de Seguridad Ferroviaria;6.585,41;6.585.410,00
17.20;;TOTAL TRANSFERENCIAS CORRIENTES;19.483,31;19.483.310,00
17.20;71;A Organismos Autónomos;5.900,00;5.900.000,00
17.20;710;Centro de Estudios y Experimentación de Obras Públicas (CEDEX);5.840,00;5.840.000,00
17.20;713;Centro Nacional de Información Geográfica (CNIG);60;60.000,00
17.20;;TOTAL TRANSFERENCIAS DE CAPITAL;5.900,00;5.900.000,00
17.20;;TOTAL SECRETARÍA DE ESTADO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;25.383,31;25.383.310,00
17.102;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;15;15.000,00
17.102;430;Al CSIC. Aportación EPOS-ERIC;15;15.000,00
17.102;;TOTAL TRANSFERENCIAS CORRIENTES;15;15.000,00
17.102;91;Amortización de préstamos en euros;27,6;27.600,00
17.102;911;Amortización de préstamos a largo plazo de entes del Sector Público;27,6;27.600,00
17.102;;TOTAL PASIVOS FINANCIEROS;27,6;27.600,00
17.102;;TOTAL CENTRO NACIONAL DE INFORMACIÓN GEOGRÁFICA;42,6;42.600,00
17.301;402;Al Estado, para compensar gastos de gestión centralizada;1.025,40;1.025.400,00
17.301;403;Al Estado, para la cofinanciación de gastos del Centro de Educación Infantil;69,23;69.230,00
17.301;;TOTAL AGENCIA ESTATAL DE SEGURIDAD AÉREA;1.094,63;1.094.630,00
;;TOTAL Transferencias y libramientos internos;141.080,75;141.080.750,00
