;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 45FB C06.I02 Red Transeuropea de Transporte. Otras actuaciones. Infraestructuras y Ecosistemas Resilientes;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;17.50;;Total;
4;TRANSFERENCIAS CORRIENTES;5.061,92;;5.061,92;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;5.061,92;;5.061,92;
6;INVERSIONES REALES;251.582,78;;251.582,78;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;251.582,78;;251.582,78;
7;TRANSFERENCIAS DE CAPITAL;258.340,04;;258.340,04;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;252.572,27;;252.572,27;
75; A Comunidades Autónomas;5.767,77;;5.767,77;
;TOTAL;514.984,74;;514.984,74;
;;



