;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 455M Regulación y supervisión de la aviación civil;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;17.34;17.301;Total;
1;GASTOS DE PERSONAL;2.997,48;23.308,18;26.305,66;
10; Altos cargos;61,04;93,86;154,90;
12; Funcionarios;2.478,29;17.549,06;20.027,35;
13; Laborales;128,15;321,92;450,07;
15; Incentivos al rendimiento;;1.622,99;1.622,99;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;330,00;3.720,35;4.050,35;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.210,62;53.774,94;54.985,56;
20; Arrendamientos y cánones;;75,94;75,94;
21; Reparaciones, mantenimiento y conservación;;6.977,70;6.977,70;
22; Material, suministros y otros;1.210,62;45.571,30;46.781,92;
23; Indemnizaciones por razón del servicio;;1.150,00;1.150,00;
3;GASTOS FINANCIEROS;0,19;10,00;10,19;
35; Intereses de demora y otros gastos financieros;0,19;10,00;10,19;
4;TRANSFERENCIAS CORRIENTES;1.755,31;125,97;1.881,28;
47; A empresas privadas;;2,10;2,10;
48; A familias e instituciones sin fines de lucro;;123,87;123,87;
49; Al exterior;1.755,31;;1.755,31;
6;INVERSIONES REALES;4.346,68;5.397,49;9.744,17;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;149,37;149,37;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.948,33;1.948,33;
64; Gastos de inversiones de carácter inmaterial;4.346,68;3.299,79;7.646,47;
8;ACTIVOS FINANCIEROS;;5,77;5,77;
83; Concesión de préstamos fuera del Sector Público;;5,77;5,77;
;TOTAL;10.310,28;82.622,35;92.932,63;
;;



