Orgánica;Económica;Explicación;Total (mil €);Total (€)
24.05;12;Funcionarios;288,54;288.540
24.05;13;Laborales;24,14;24.140
24.05;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;15,08;15.080
24.05;—;TOTAL GASTOS DE PERSONAL;327,76;327.760
24.05;20;Arrendamientos y cánones;17;17.000
24.05;21;Reparaciones, mantenimiento y conservación;14;14.000
24.05;22;Material, suministros y otros;748,29;748.290
24.05;22502;Locales;2;2.000
24.05;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;779,29;779.290
24.05;46;A Entidades Locales;100;100.000
24.05;468;A Bilbao Arte para su proyecto de ampliación;100;100.000
24.05;47;A empresas privadas;300;300.000
24.05;471;Ayudas a la promoción del arte contemporáneo español;300;300.000
24.05;48;A familias e instituciones sin fines de lucro;60;60.000
24.05;481;Premios nacionales;60;60.000
24.05;—;TOTAL TRANSFERENCIAS CORRIENTES;460;460.000
24.05;6;INVERSIONES REALES;27,24;27.240
24.05;—;TOTAL DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES;1.594,29;1.594.290
—;—;TOTAL PROGRAMA 333B – Exposiciones;1.594,29;1.594.290
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
