;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 332B Bibliotecas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;24.03;24.104;24.105;;;Total;
1;GASTOS DE PERSONAL;2.383,36;17.226,78;;;;19.610,14;
10; Altos cargos;;61,04;;;;61,04;
12; Funcionarios;1.977,36;9.800,26;;;;11.777,62;
13; Laborales;35,11;4.127,83;;;;4.162,94;
15; Incentivos al rendimiento;;1.186,20;;;;1.186,20;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;370,89;2.051,45;;;;2.422,34;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.573,51;10.262,95;40,00;;;11.876,46;
20; Arrendamientos y cánones;1,00;87,00;;;;88,00;
21; Reparaciones, mantenimiento y conservación;235,00;1.518,40;15,00;;;1.768,40;
22; Material, suministros y otros;1.322,76;8.491,71;25,00;;;9.839,47;
23; Indemnizaciones por razón del servicio;14,75;65,84;;;;80,59;
24; Gastos de publicaciones;;100,00;;;;100,00;
3;GASTOS FINANCIEROS;;;1,00;;;1,00;
35; Intereses de demora y otros gastos financieros;;;1,00;;;1,00;
4;TRANSFERENCIAS CORRIENTES;840,45;661,17;;;;1.501,62;
45; A Comunidades Autónomas;450,00;;;;;450,00;
46; A Entidades Locales;100,00;;;;;100,00;
48; A familias e instituciones sin fines de lucro;239,00;570,84;;;;809,84;
49; Al exterior;51,45;90,33;;;;141,78;
6;INVERSIONES REALES;2.286,15;6.094,18;23.685,00;;;32.065,33;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.166,15;2.462,18;6.955,00;;;10.583,33;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;50,00;1.015,48;16.730,00;;;17.795,48;
64; Gastos de inversiones de carácter inmaterial;1.070,00;2.616,52;;;;3.686,52;
8;ACTIVOS FINANCIEROS;;63,00;;;;63,00;
83; Concesión de préstamos fuera del Sector Público;;63,00;;;;63,00;
;TOTAL;7.083,47;34.308,08;23.726,00;;;65.117,55;
;;



