Económica;Explicación;24.01;24.02;24.04;24.06;24.105;Total (mil €);Total (€)
1;GASTOS DE PERSONAL;25.467,09;3.550,78;647,57;624,08;5.478,30;35.767,82;35.767.820
10;Altos cargos;208,56;61,04;;71,16;;340,76;340.760
11;Personal eventual;533,77;;;;;533,77;533.770
12;Funcionarios;16.178,87;3.002,78;560,79;500,89;3.979,46;24.222,79;24.222.790
13;Laborales;2.194,69;214,88;;;333,21;2.742,78;2.742.780
15;Incentivos al rendimiento;4.165,08;;;;569,84;4.734,92;4.734.920
16;Cuotas, prestaciones y gastos sociales;2.186,12;272,08;86,78;52,03;595,79;3.192,80;3.192.800
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.859,38;592,9;619,1;3.840,85;1.006,00;11.918,23;11.918.230
20;Arrendamientos y cánones;104;;;;5;109;109.000
21;Reparaciones, mantenimiento y conservación;648;;;;220;868;868.000
22;Material, suministros y otros;4.349,38;423,00;436,5;3.760,85;621,00;9.590,73;9.590.730
23;Indemnizaciones por razón del servicio;758;14,02;182,6;80;160;1.194,62;1.194.620
24;Gastos de publicaciones;;155,88;;;;155,88;155.880
3;GASTOS FINANCIEROS;3,50;;;;1,00;4,50;4.500
35;Intereses de demora y otros gastos financieros;3,50;;;;1;4,50;4.500
4;TRANSFERENCIAS CORRIENTES;36,50;;;45;;81,50;81.500
48;A familias e instituciones sin fines de lucro;36,50;;;45;;81,50;81.500
6;INVERSIONES REALES;3.547,00;44;435;27,32;4.200,00;8.253,32;8.253.320
62;Inversión nueva asociada al funcionamiento operativo;150;22;146;27,32;;345,32;345.320
63;Inversión de reposición asociada al funcionamiento operativo;1.673,00;;35;;4.200,00;5.908,00;5.908.000
64;Gastos de inversiones de carácter inmaterial;1.724,00;22;254;;;2.000,00;2.000.000
8;ACTIVOS FINANCIEROS;133,94;;;;27;160,94;160.940
83;Concesión de préstamos fuera del Sector Público;133,94;;;;27;160,94;160.940
—;TOTAL PROGRAMA 331M;35.047,41;4.187,68;1.701,67;4.537,25;10.712,30;56.186,31;56.186.310
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
