Económica;Explicación;24.05 (mil €);24.105 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;14.159,64;—;14.159,64;14.159.640
12;Funcionarios;8.554,48;—;8.554,48;8.554.480
13;Laborales;3.685,18;—;3.685,18;3.685.180
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.919,98;—;1.919,98;1.919.980
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.037,08;157;9.194,08;9.194.080
20;Arrendamientos y cánones;—;35;35;35.000
21;Reparaciones, mantenimiento y conservación;1.222,81;12;1.234,81;1.234.810
22;Material, suministros y otros;7.728,27;110;7.838,27;7.838.270
23;Indemnizaciones por razón del servicio;86;—;86;86.000
3;GASTOS FINANCIEROS;—;1;1;1.000
35;Intereses de demora y otros gastos financieros;—;1;1,00;1.000
4;TRANSFERENCIAS CORRIENTES;301,31;—;301,31;301.310
45;A Comunidades Autónomas;20,00;—;20,00;20.000
48;A familias e instituciones sin fines de lucro;227,43;—;227,43;227.430
49;Al exterior;53,88;—;53,88;53.880
6;INVERSIONES REALES;2.780,00;21.200,00;23.980,00;23.980.000
62;Inversión nueva asociada al funcionamiento operativo;1.980,00;8.600,00;10.580,00;10.580.000
63;Inversión de reposición asociada al funcionamiento operativo;100,00;12.600,00;12.700,00;12.700.000
64;Gastos de inversiones de carácter inmaterial;700;—;700;700.000
7;TRANSFERENCIAS DE CAPITAL;75;—;75;75.000
78;A familias e instituciones sin fines de lucro;75;—;75;75.000
—;TOTAL PROGRAMA 332A – Archivos;26.353,03;21.358,00;47.711,03;47.711.030
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
