Económica;Explicación;24.03 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;2.045,34;2.045,34;2.045.340
10;Altos cargos;61,04;61,04;61.040
12;Funcionarios;1.467,86;1.467,86;1.467.860
13;Laborales;265,76;265,76;265.760
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;250,68;250,68;250.680
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.580,84;1.580,84;1.580.840
21;Reparaciones, mantenimiento y conservación;156;156;156.000
22;Material, suministros y otros;1.241,84;1.241,84;1.241.840
23;Indemnizaciones por razón del servicio;183;183;183.000
4;TRANSFERENCIAS CORRIENTES;6.865,00;6.865,00;6.865.000
45;A Comunidades Autónomas;200,00;200;200.000,00
46;A Entidades Locales;1.580,00;1.580,00;1.580.000
47;A empresas privadas;1.900,00;1.900,00;1.900.000,00
48;A familias e instituciones sin fines de lucro;3.185,00;3.185,00;3.185.000
6;INVERSIONES REALES;45;45;45.000
62;Inversión nueva asociada al funcionamiento operativo;10,00;10;10.000,00
63;Inversión de reposición asociada al funcionamiento operativo;10;10;10.000
64;Gastos de inversiones de carácter inmaterial;25,00;25;25.000,00
7;TRANSFERENCIAS DE CAPITAL;3.355,88;3.355,88;3.355.880
76;A Entidades Locales;1.100,00;1.100,00;1.100.000,00
77;A empresas privadas;1.690,88;1.690,88;1.690.880
78;A familias e instituciones sin fines de lucro;565,00;565;565.000,00
—;TOTAL PROGRAMA 334B – Promoción del libro y publicaciones culturales;—;13.892,06;13.892.060,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
