Económica;Explicación;24.103 (mil €);24.105 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;8.549,22;—;8.549,22;8.549.220
10;Altos cargos;61,04;—;61,04;61.040
12;Funcionarios;5.201,74;—;5.201,74;5.201.740
13;Laborales;1.802,71;—;1.802,71;1.802.710
15;Incentivos al rendimiento;303,68;—;303,68;303.680
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.180,05;—;1.180,05;1.180.050
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.242,61;10;4.252,61;4.252.610
20;Arrendamientos y cánones;204,5;—;204,5;204.500
21;Reparaciones, mantenimiento y conservación;608;5;613;613.000
22;Material, suministros y otros;3.070;5;3.075,39;3.075.390
23;Indemnizaciones por razón del servicio;259,72;—;259,72;259.720
24;Gastos de publicaciones;100;—;100;100.000
3;GASTOS FINANCIEROS;40,00;—;40,00;40.000
35;Intereses de demora y otros gastos financieros;40,00;—;40,00;40.000
4;TRANSFERENCIAS CORRIENTES;150.382,67;—;150.382,67;150.382.670
45;A Comunidades Autónomas;39.201,75;—;39.201,75;39.201.750
46;A Entidades Locales;1.989,10;—;1.989,10;1.989.100
47;A empresas privadas;107.852,06;—;107.852,06;107.852.060
48;A familias e instituciones sin fines de lucro;1.339,76;—;1.339,76;1.339.760
6;INVERSIONES REALES;835,00;3.000,00;3.835,00;3.835.000
62;Inversión nueva asociada al funcionamiento operativo;150;—;150;150.000
63;Inversión de reposición asociada al funcionamiento operativo;385;3.000,00;3.385,00;3.385.000
64;Gastos de inversiones de carácter inmaterial;300;—;300;300.000
7;TRANSFERENCIAS DE CAPITAL;30;—;30;30.000
76;A Entidades Locales;30,00;—;30,00;30.000
8;ACTIVOS FINANCIEROS;54,00;—;54,00;54.000
83;Concesión de préstamos fuera del Sector Público;54,00;—;54,00;54.000
—;TOTAL PROGRAMA 335C – Cinematografía;164.133,50;3.010,00;167.143,50;167.143.500
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
