Económica;Explicación;24.01 (mil €);24.04 (mil €);24.105 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;—;1.782,53;—;1.782,53;1.782.530
10;Altos cargos;—;61,04;—;61,04;61.040
12;Funcionarios;—;1.306,38;—;1.306,38;1.306.380
13;Laborales;—;193;—;193;193.000
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;—;222,11;—;222,11;222.110
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;1.742,29;10;1.752,29;1.752.290
20;Arrendamientos y cánones;—;18;—;18;18.000
21;Reparaciones, mantenimiento y conservación;—;—;5;5;5.000
22;Material, suministros y otros;—;1.659,29;5;1.664,29;1.664.290
23;Indemnizaciones por razón del servicio;—;65;—;65;65.000
4;TRANSFERENCIAS CORRIENTES;210.350,00;20.710,42;—;231.060,42;231.060.420
44;A entidades del Sector Público Estatal;—;460;—;460;460.000
45;A Comunidades Autónomas;—;100,00;—;100;100.000
46;A Entidades Locales;—;15.600,00;—;15.600,00;15.600.000
48;A familias e instituciones sin fines de lucro;210.350,00;4.550,42;—;214.900,42;214.900.420
6;INVERSIONES REALES;—;43,00;—;43;43.000
62;Inversión nueva asociada al funcionamiento operativo;—;13;—;13;13.000
64;Gastos de inversiones de carácter inmaterial;—;30;—;30;30.000
7;TRANSFERENCIAS DE CAPITAL;—;54.396,00;—;54.396,00;54.396.000
75;A Comunidades Autónomas;—;31.947,50;—;31.947,50;31.947.500
76;A Entidades Locales;—;22.358,50;—;22.358,50;22.358.500
78;A familias e instituciones sin fines de lucro;—;90;—;90;90.000
—;TOTAL PROGRAMA 334A – Promoción y cooperación cultural;210.350,00;78.674,24;10;289.034,24;289.034.240
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
