Económica;Explicación;24.107 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;17.773,78;17.773,78;17.773.780
15;Incentivos al rendimiento;254,15;254,15;254.150
150;Productividad;235,73;235,73;235.730
151;Gratificaciones;18,42;18,42;18.420
16000;Seguridad Social;3.509,97;3.509,97;3.509.970
16200;Formación y perfeccionamiento del personal;56,88;56,88;56.880
16204;Acción social;62,8;62,8;62.800
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;22.065,20;22.065,20;22.065.200
202;Arrendamientos de edificios y otras construcciones;800;800;800.000
22.502;Locales;120;120;120.000
3;GASTOS FINANCIEROS;30;30;30.000
35;Intereses de demora y otros gastos financieros;30;30;30.000
4;TRANSFERENCIAS CORRIENTES;12.916,53;12.916,53;12.916.530
44–48;A entidades públicas, privadas y sin fines de lucro;12.916,53;12.916,53;12.916.530
6;INVERSIONES REALES;4.029,62;4.029,62;4.029.620
7;TRANSFERENCIAS DE CAPITAL;3.000,00;3.000,00;3.000.000
75–77;A comunidades autónomas, entidades locales y empresas privadas;3.000,00;3.000,00;3.000.000
8;ACTIVOS FINANCIEROS;401,72;401,72;401.720,00
83;Concesión de préstamos fuera del Sector Público;401,72;401,72;401.720
—;TOTAL PROGRAMA 335B – Teatro;—;60.216,85;60.216.850
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
