;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 333A Museos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;24.05;24.105;24.301;24.302;;Total;
1;GASTOS DE PERSONAL;29.445,63;;23.234,26;19.291,77;;71.971,66;
10; Altos cargos;;;148,65;127,81;;276,46;
12; Funcionarios;11.271,61;;58,69;4.049,42;;15.379,72;
13; Laborales;13.332,06;;18.565,78;10.028,35;;41.926,19;
15; Incentivos al rendimiento;;;11,00;342,61;;353,61;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;4.841,96;;4.450,14;4.743,58;;14.035,68;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;21.764,61;40,00;20.548,27;18.086,23;;60.439,11;
20; Arrendamientos y cánones;442,00;;445,00;328,00;;1.215,00;
21; Reparaciones, mantenimiento y conservación;2.700,00;15,00;1.450,00;2.214,00;;6.379,00;
22; Material, suministros y otros;18.522,61;25,00;18.048,27;15.324,23;;51.920,11;
23; Indemnizaciones por razón del servicio;100,00;;155,00;20,00;;275,00;
24; Gastos de publicaciones;;;450,00;200,00;;650,00;
3;GASTOS FINANCIEROS;32,00;1,00;;12,00;;45,00;
35; Intereses de demora y otros gastos financieros;32,00;1,00;;12,00;;45,00;
4;TRANSFERENCIAS CORRIENTES;25.486,63;;195,00;323,00;;26.004,63;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;18.706,85;;;;;18.706,85;
45; A Comunidades Autónomas;3.185,05;;;;;3.185,05;
46; A Entidades Locales;1.893,96;;;;;1.893,96;
48; A familias e instituciones sin fines de lucro;1.641,02;;195,00;320,00;;2.156,02;
49; Al exterior;59,75;;;3,00;;62,75;
6;INVERSIONES REALES;2.429,49;30.313,00;28.100,00;6.616,10;;67.458,59;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;586,40;8.300,00;5.100,00;5.250,00;;19.236,40;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.275,00;22.013,00;22.900,00;1.300,00;;47.488,00;
64; Gastos de inversiones de carácter inmaterial;568,09;;100,00;66,10;;734,19;
7;TRANSFERENCIAS DE CAPITAL;7.408,00;50,00;;;;7.458,00;
76; A Entidades Locales;7.157,00;50,00;;;;7.207,00;
78; A familias e instituciones sin fines de lucro;251,00;;;;;251,00;
8;ACTIVOS FINANCIEROS;;;100,00;52,80;;152,80;
83; Concesión de préstamos fuera del Sector Público;;;100,00;52,80;;152,80;
;TOTAL;86.566,36;30.404,00;72.177,53;44.381,90;;233.529,79;
;;



