Económica;Explicación;24.107 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;17.773,78;17.773,78;17.773.780
12;Funcionarios;2.200,67;2.200,67;2.200.670
13;Laborales;11.689,31;11.689,31;11.689.310
15;Incentivos al rendimiento;254,15;254,15;254.150
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.629,65;3.629,65;3.629.650
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;22.065,20;22.065,20;22.065.200
20;Arrendamientos y cánones;841,5;841,5;841.500
21;Reparaciones, mantenimiento y conservación;895;895;895.000
22;Material, suministros y otros;6.010,65;6.010,65;6.010.650
23;Indemnizaciones por razón del servicio;949;948,94;948.940
24;Gastos de publicaciones;117,69;117,69;117.690,00
28;Gastos relacionados con la actividad comercial;13.251,42;13.251,42;13.251.420,00
3;GASTOS FINANCIEROS;30,00;30;30.000,00
35;Intereses de demora y otros gastos financieros;30;30;30.000
4;TRANSFERENCIAS CORRIENTES;12.916,53;12.916,53;12.916.530,00
44;A entidades del Sector Público Estatal;654,06;654,06;654.060,00
45;A Comunidades Autónomas;556,62;556,62;556.620
46;A Entidades Locales;1.762,80;1.762,80;1.762.800
47;A empresas privadas;7.050,25;7.050,25;7.050.250,00
48;A familias e instituciones sin fines de lucro;2.892,80;2.892,80;2.892.800
6;INVERSIONES REALES;4.029,62;4.029,62;4.029.620
62;Inversión nueva asociada al funcionamiento operativo;2.090,35;2.090,35;2.090.350,00
63;Inversión de reposición asociada al funcionamiento operativo;1.839,27;1.839,27;1.839.270
64;Gastos de inversiones de carácter inmaterial;100;100;100.000
7;TRANSFERENCIAS DE CAPITAL;3.000,00;3.000,00;3.000.000,00
75;A Comunidades Autónomas;125;125;125.000
76;A Entidades Locales;2.375,00;2.375,00;2.375.000
77;A empresas privadas;500,00;500;500.000,00
8;ACTIVOS FINANCIEROS;401,72;401,72;401.720,00
83;Concesión de préstamos fuera del Sector Público;401,72;401,72;401.720,00
—;TOTAL PROGRAMA 335B – Teatro;—;60.216,85;60.216.850,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
