;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 335B Teatro;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;24.107;;Total;
1;GASTOS DE PERSONAL;17.773,78;;17.773,78;
12; Funcionarios;2.200,67;;2.200,67;
13; Laborales;11.689,31;;11.689,31;
15; Incentivos al rendimiento;254,15;;254,15;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;3.629,65;;3.629,65;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;22.065,20;;22.065,20;
20; Arrendamientos y cánones;841,50;;841,50;
21; Reparaciones, mantenimiento y conservación;895,00;;895,00;
22; Material, suministros y otros;6.010,65;;6.010,65;
23; Indemnizaciones por razón del servicio;948,94;;948,94;
24; Gastos de publicaciones;117,69;;117,69;
28; Gastos relacionados con la actividad comercial;13.251,42;;13.251,42;
3;GASTOS FINANCIEROS;30,00;;30,00;
35; Intereses de demora y otros gastos financieros;30,00;;30,00;
4;TRANSFERENCIAS CORRIENTES;12.916,53;;12.916,53;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;654,06;;654,06;
45; A Comunidades Autónomas;556,62;;556,62;
46; A Entidades Locales;1.762,80;;1.762,80;
47; A empresas privadas;7.050,25;;7.050,25;
48; A familias e instituciones sin fines de lucro;2.892,80;;2.892,80;
6;INVERSIONES REALES;4.029,62;;4.029,62;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;2.090,35;;2.090,35;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.839,27;;1.839,27;
64; Gastos de inversiones de carácter inmaterial;100,00;;100,00;
7;TRANSFERENCIAS DE CAPITAL;3.000,00;;3.000,00;
75; A Comunidades Autónomas;125,00;;125,00;
76; A Entidades Locales;2.375,00;;2.375,00;
77; A empresas privadas;500,00;;500,00;
8;ACTIVOS FINANCIEROS;401,72;;401,72;
83; Concesión de préstamos fuera del Sector Público;401,72;;401,72;
;TOTAL;60.216,85;;60.216,85;
;;



