Económica;Explicación;24.03;24.05;24.06;24.103;24.107;Total (mil €);Total (€)
1;GASTOS DE PERSONAL;;;333,67;;;333,67;333.670
12;Funcionarios;;;315,39;;;315,39;315.390
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;;18,28;;;18,28;18.280
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;459,81;140,05;816,55;612,24;380,79;2.409,44;2.409.440
20;Arrendamientos y cánones;;;2;2;;4;4.000
21;Reparaciones, mantenimiento y conservación;;2,07;;;;2,07;2.070
22;Material, suministros y otros;359,81;63,56;722,2;527;233,93;1.906,50;1.906.500
23;Indemnizaciones por razón del servicio;100;74,42;92,35;83,24;146,86;496,87;496.870
4;TRANSFERENCIAS CORRIENTES;658,6;100;1.032,49;3.338,50;1.986,68;7.116,27;7.116.270
45;A Comunidades Autónomas;;;;;67;67,38;67.380
46;A Entidades Locales;;;;;67,38;67,38;67.380
47;A empresas privadas;;;;;1.111,45;1.111,45;1.111.450
48;A familias e instituciones sin fines de lucro;176,6;100;709,99;;254,59;1.241,18;1.241.180
49;Al exterior;482;;322,5;3.338,50;485,88;4.628,88;4.628.880
6;INVERSIONES REALES;;5,39;;;;5,39;5.390
62;Inversión nueva asociada al funcionamiento operativo de los servicios;;2,77;;;;2,77;2.770
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;2,62;;;;2,62;2.620
7;TRANSFERENCIAS DE CAPITAL;;426;;;;426;426.000
75;A Comunidades Autónomas;;370;;;;370,00;370.000
78;A familias e instituciones sin fines de lucro;;56;;;;56;56.000
—;TOTAL GENERAL;1.118,41;671,44;2.182,71;3.950,74;2.367,47;10.290,77;10.290.770
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
