Económica;Explicación;24.05 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;2.569,64;2.569,64;2.569.640
10;Altos cargos;61,04;61,04;61.040
12;Funcionarios;2.053,39;2.053,39;2.053.390
13;Laborales;157,55;157,55;157.550
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;297,66;297,66;297.660
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.050,64;2.050,64;2.050.640
20;Arrendamientos y cánones;15;15;15.000
22;Material, suministros y otros;1.745,64;1.745,64;1.745.640
22601;Atenciones protocolarias y representativas;2,34;2,34;2.340
23;Indemnizaciones por razón del servicio;290;290;290.000
3;GASTOS FINANCIEROS;5;5;5.000
35;Intereses de demora y otros gastos financieros;5;5;5.000
4;TRANSFERENCIAS CORRIENTES;1.573,83;1.573,83;1.573.830,00
44–49;A entidades públicas, privadas, sin fines de lucro y al exterior;1.573,83;1.573,83;1.573.830
6;INVERSIONES REALES;6.937,50;6.937,50;6.937.500
621;Inversiones producto del 2% cultural;25;25;25.000
7;TRANSFERENCIAS DE CAPITAL;660;660;660.000,00
76;A Entidades Locales;660;660;660.000
—;TOTAL PROGRAMA 337C – Protección del Patrimonio Histórico;—;13.796,61;13.796.610
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
