Económica;Explicación;24.05 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;327,76;327,76;327.760
12;Funcionarios;288,54;288,54;288.540
13;Laborales;24,14;24,14;24.140
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;15,08;15,08;15.080
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;779,29;779,29;779.290
20;Arrendamientos y cánones;17;17;17.000
21;Reparaciones, mantenimiento y conservación;14;14;14.000
22;Material, suministros y otros;748,29;748,29;748.290
4;TRANSFERENCIAS CORRIENTES;460;460;460.000
46;A Entidades Locales;100;100;100.000
47;A empresas privadas;300;300;300.000
48;A familias e instituciones sin fines de lucro;60;60;60.000
6;INVERSIONES REALES;27,24;27,24;27.240
62;Inversión nueva asociada al funcionamiento operativo;27,24;27,24;27.240
—;TOTAL PROGRAMA 333B – Exposiciones;—;1.594,29;1.594.290
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
