Económica;Explicación;24.05 (mil €);24.105 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;4.665,50;—;4.665,50;4.665.500
12;Funcionarios;1.466,44;—;1.466,44;1.466.440
13;Laborales;2.340,18;—;2.340,18;2.340.180
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;858,88;—;858,88;858.880
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.843,50;5;1.848,50;1.848.500
20;Arrendamientos y cánones;24;—;24;24.000
21;Reparaciones, mantenimiento y conservación;548;5;553;553.000
22;Material, suministros y otros;921,5;—;921,5;921.500
23;Indemnizaciones por razón del servicio;350;—;350;350.000
4;TRANSFERENCIAS CORRIENTES;130;—;130;130.000
48;A familias e instituciones sin fines de lucro;70,00;—;70,00;70.000
49;Al exterior;60,00;—;60,00;60.000
6;INVERSIONES REALES;18.632,93;10;18.642,93;18.642.930
60;Inversión nueva en infraestructuras y bienes de uso general;4.000,00;—;4.000,00;4.000.000
62;Inversión nueva asociada al funcionamiento operativo;791,93;—;791,93;791.930
63;Inversión de reposición asociada al funcionamiento operativo;13.141,00;10;13.151,00;13.151.000
64;Gastos de inversiones de carácter inmaterial;700;—;700;700.000
7;TRANSFERENCIAS DE CAPITAL;13.520,00;—;13.520,00;13.520.000
75;A Comunidades Autónomas;78;—;78;78.000
76;A Entidades Locales;12.943,00;—;12.943,00;12.943.000
78;A familias e instituciones sin fines de lucro;499;—;499;499.000
—;TOTAL PROGRAMA 337B – Conservación y restauración de bienes culturales;38.791,93;15;38.806,93;38.806.930
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
