Económica;Explicación;24.04 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;732,29;732,29;732.290
12;Funcionarios;512,84;512,84;512.840
13;Laborales;141,14;141,14;141.140
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;78,31;78,31;78.310
4;TRANSFERENCIAS CORRIENTES;1.500,00;1.500,00;1.500.000
47;A empresas privadas;1.500,00;1.500,00;1.500.000
7;TRANSFERENCIAS DE CAPITAL;3.940,00;3.940,00;3.940.000
77;A empresas privadas;3.940,00;3.940,00;3.940.000
8;ACTIVOS FINANCIEROS;11.000,00;11.000,00;11.000.000
82;Concesión de préstamos al Sector Público;11.000,00;11.000,00;11.000.000
—;TOTAL PROGRAMA 334C – Fomento de las industrias culturales;—;17.172,29;17.172.290
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
