Económica;Explicación;24.01 (mil €);24.04 (mil €);Total (mil €);Total (€)
4;TRANSFERENCIAS CORRIENTES;376.136,18;110;376.246,18;376.246.180
41;A Organismos Autónomos;330.305,12;—;330.305,12;330.305.120
43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;45.831,06;110;45.941,06;45.941.060
7;TRANSFERENCIAS DE CAPITAL;123.488,83;—;123.488,83;123.488.830
71;A Organismos Autónomos;89.806,58;—;89.806,58;89.806.580
73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;33.682,25;—;33.682,25;33.682.250
—;TOTAL PROGRAMA 000X – Transferencias y Libramientos Internos;499.625,01;110;499.735,01;499.735.010
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
