Económica;Explicación;24.105 (mil €);24.107 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;—;37.871,87;37.871,87;37.871.870
10;Altos cargos;—;61,04;61,04;61.040
12;Funcionarios;—;5.861,40;5.861,40;5.861.400
13;Laborales;—;24.350,56;24.350,56;24.350.560
15;Incentivos al rendimiento;—;516,02;516,02;516.020
16;Cuotas, prestaciones y gastos sociales;—;7.082,85;7.082,85;7.082.850
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5;33.848,94;33.853,94;33.853.940
20;Arrendamientos y cánones;—;1.193,23;1.193,23;1.193.230
21;Reparaciones, mantenimiento y conservación;5;1.867,63;1.872,63;1.872.630
22;Material, suministros y otros;—;7.098;7.097,56;7.097.560
23;Indemnizaciones por razón del servicio;—;1.984,77;1.984,77;1.984.770
24;Gastos de publicaciones;—;78;78;78.000
28;Gastos relacionados con la actividad comercial;—;21.627,75;21.627,75;21.627.750
3;GASTOS FINANCIEROS;—;53,48;53,48;53.480
35;Intereses de demora y otros gastos financieros;—;53,48;53,48;53.480
4;TRANSFERENCIAS CORRIENTES;—;40.007,60;40.007,60;40.007.600
44–48;A entidades públicas, privadas y sin fines de lucro;—;40.007,60;40.007,60;40.007.600
6;INVERSIONES REALES;2.250,00;4.008,36;6.258,36;6.258.360
62;Inversión nueva asociada al funcionamiento operativo;—;634,00;634,00;634.000
63;Inversión de reposición asociada al funcionamiento operativo;2.250,00;3.312,71;5.562,71;5.562.710
64;Gastos de inversiones de carácter inmaterial;—;61,65;61,65;61.650
7;TRANSFERENCIAS DE CAPITAL;—;4.551,00;4.551,00;4.551.000
75–76;A Comunidades Autónomas y Entidades Locales;—;4.551,00;4.551,00;4.551.000
8;ACTIVOS FINANCIEROS;—;30;30;30.000
83;Concesión de préstamos fuera del Sector Público;—;30;30;30.000
—;TOTAL PROGRAMA 335A – Música y danza;2.255,00;120.371,25;122.626,25;122.626.250
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
