Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;8.762,69;8.762.690,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.872,55;1.872.550,00
3;GASTOS FINANCIEROS;1.630,00;1.630.000,00
4;TRANSFERENCIAS CORRIENTES;3.405,00;3.405.000,00
—;TOTAL OPERACIONES CORRIENTES;15.670,24;15.670.240,00
6;INVERSIONES REALES;25.183,84;25.183.840,00
7;TRANSFERENCIAS DE CAPITAL;2.080.815,57;2.080.815.570,00
—;TOTAL OPERACIONES DE CAPITAL;2.105.999,41;2.105.999.410,00
—;TOTAL OPERACIONES NO FINANCIERAS;2.121.669,65;2.121.669.650,00
8;ACTIVOS FINANCIEROS;1.360.000,00;1.360.000.000,00
—;TOTAL Capítulos 1–8;3.481.669,65;3.481.669.650,00
9;PASIVOS FINANCIEROS;165,00;165.000,00
—;TOTAL Capítulo 9;165,00;165.000,00
—;TOTAL PRESUPUESTO;3.481.834,65;3.481.834.650,00
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);–900,00;–900.000,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–900,00;–900.000,00
—;TOTAL CONSOLIDADO;3.480.934,65;3.480.934.650,00
