Económica;Explicación;25.01;25.09;25.10;25.50;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;3.969,00;2.524,18;2.269,51;–;8.762,69;8.762.690,00
10;Altos cargos;151,94;61,04;61,04;–;274,02;274.020,00
11;Personal eventual;194,97;–;–;–;194,97;194.970,00
12;Funcionarios;1.886,09;2.146,78;1.841,97;–;5.874,84;5.874.840,00
13;Laborales;–;73,86;101,5;–;175,36;175.360,00
15;Incentivos al rendimiento;1.206,00;–;–;–;1.206,00;1.206.000,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;530;242,5;265;–;1.037,50;1.037.500,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;285;361,3;1.226,25;–;1.872,55;1.872.550,00
22;Material, suministros y otros;35;361,3;1.226,25;–;1.622,55;1.622.550,00
23;Indemnizaciones por razón del servicio;250,00;–;–;–;250;250.000,00
3;GASTOS FINANCIEROS;–;1.630,00;–;–;1.630,00;1.630.000,00
35;Intereses de demora y otros gastos financieros;–;1.630,00;–;–;1.630,00;1.630.000,00
4;TRANSFERENCIAS CORRIENTES;–;3.000,00;405,00;–;3.405,00;3.405.000,00
44;A entidades del Sector Público Estatal;–;2.000,00;–;–;2.000,00;2.000.000,00
48;A familias e instituciones sin fines de lucro;–;1.000,00;360;–;1.360,00;1.360.000,00
49;Al exterior;–;–;45;–;45;45.000,00
6;INVERSIONES REALES;–;683,84;24.500,00;–;25.183,84;25.183.840,00
61;Reposición en infraestructuras;–;–;24.000,00;–;24.000,00;24.000.000,00
64;Inversiones de carácter inmaterial;–;683,84;500;–;1.183,84;1.183.840,00
7;TRANSFERENCIAS DE CAPITAL;–;696.423,12;3.492,45;1.380.000,00;2.079.915,57;2.079.915.570,00
74;A entidades del Sector Público Estatal;–;185,00;256,49;–;441,49;441.490,00
75;A Comunidades Autónomas;–;596.119,00;206,49;1.380.000,00;1.976.325,49;1.976.325.490,00
76;A Entidades Locales;–;36.919,12;286,49;–;37.205,61;37.205.610,00
77;A empresas privadas;–;–;6,49;–;6,49;6.490,00
78;A familias e instituciones sin fines de lucro;–;63.200,00;2.626,49;–;65.826,49;65.826.490,00
79;Al exterior;–;–;110,00;–;110;110.000,00
8;ACTIVOS FINANCIEROS;–;260.000,00;–;1.100.000,00;1.360.000,00;1.360.000.000,00
82;Préstamos al Sector Público;–;–;–;1.100.000,00;1.100.000,00;1.100.000.000,00
87;Aportaciones patrimoniales;–;260.000,00;–;–;260.000,00;260.000.000,00
9;PASIVOS FINANCIEROS;–;165;–;–;165;165.000,00
94;Devolución de depósitos y fianzas;–;165,00;–;–;165;165.000,00
—;TOTAL CONSOLIDADO;4.254,00;964.787,44;31.893,21;2.480.000,00;3.480.934,65;3.480.934.650,00
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);–;–;900;–;900;900.000,00
73;A otras entidades del Sector Público Administrativo Estatal;–;–;900,00;–;900;900.000,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–;–;900;–;900;900.000,00
—;TOTAL MINISTERIO DE VIVIENDA Y AGENDA URBANA;4.254,00;964.787,44;32.793,21;2.480.000,00;3.481.834,65;3.481.834.650,00
