;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 25 MINISTERIO DE VIVIENDA Y AGENDA URBANA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;261M;;Dirección y Servicios Generales de Vivienda y Agenda Urbana;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;151,94;
;;;100;Retribuciones básicas y otras remuneraciones;;151,94;
;;;10000; Retribuciones básicas;57,13;;
;;;10001; Retribuciones complementarias;94,81;;
v;;;11;Personal eventual;;194,97;
;;;110;Retribuciones básicas y otras remuneraciones;;194,97;
;;;11000; Retribuciones básicas;65,09;;
;;;11001; Retribuciones complementarias;129,88;;
v;;;12;Funcionarios;;1.886,09;
;;;120;Retribuciones básicas;;881,27;
;;;12000; Sueldos del grupo A1 y grupo A;201,95;;
;;;12001; Sueldos del grupo A2 y grupo B;107,46;;
;;;12002; Sueldos del grupo C1 y grupo C;141,20;;
;;;12003; Sueldos del grupo C2 y grupo D;58,76;;
;;;12005; Trienios;21,90;;
;;;12006; Pagas extraordinarias;350,00;;
;;;121;Retribuciones complementarias;;1.004,82;
;;;12100; Complemento de destino;350,00;;
;;;12101; Complemento específico;483,73;;
;;;12181; Necesidades adicionales;171,09;;
v;;;15;Incentivos al rendimiento;;1.206,00;
v;;;150;Productividad;;1.144,00;
v;;;151;Gratificaciones;;62,00;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;530,00;
;;;160;Cuotas sociales;;530,00;
v;;;16000; Seguridad Social;530,00;;
;;;;TOTAL GASTOS DE PERSONAL;;3.969,00;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;35,00;
;;;226;Gastos diversos;;35,00;
v;;;22601; Atenciones protocolarias y representativas;20,00;;
;;;22606; Reuniones, conferencias y cursos;15,00;;
v;;;23;Indemnizaciones por razón del servicio;;250,00;
;;;230;Dietas;;200,00;
;;;231;Locomoción;;50,00;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;285,00;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Vivienda y Agenda Urbana;;4.254,00;
 ; ;;;;;;
;;;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;4.254,00;
 ; ;;;;;;
 ; ;;;;;;
v;09;;;DIRECCIÓN GENERAL DE VIVIENDA Y SUELO;;;
v;;261N;;Promoción, administración y ayudas para rehabilitación y acceso a vivienda;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;61,04;
;;;100;Retribuciones básicas y otras remuneraciones;;61,04;
