;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por organismos y artículos del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;17.101;17.102;Total;
1;GASTOS DE PERSONAL;21.118,43;2.929,92;24.048,35;
12; Funcionarios;10.930,61;2.040,55;12.971,16;
13; Laborales;3.311,71;371,23;3.682,94;
14; Otro personal;1.688,95;;1.688,95;
15; Incentivos al rendimiento;1.320,55;252,07;1.572,62;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;3.866,61;266,07;4.132,68;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.179,08;2.523,30;8.702,38;
20; Arrendamientos y cánones;19,17;29,19;48,36;
21; Reparaciones, mantenimiento y conservación;911,24;401,02;1.312,26;
22; Material, suministros y otros;4.881,67;1.673,01;6.554,68;
23; Indemnizaciones por razón del servicio;318,38;279,47;597,85;
24; Gastos de publicaciones;48,62;140,61;189,23;
3;GASTOS FINANCIEROS;;12,78;12,78;
31; De préstamos en euros;;0,45;0,45;
35; Intereses de demora y otros gastos financieros;;12,33;12,33;
4;TRANSFERENCIAS CORRIENTES;319,72;26,00;345,72;
48; A familias e instituciones sin fines de lucro;244,10;26,00;270,10;
49; Al exterior;75,62;;75,62;
6;INVERSIONES REALES;6.744,47;7.839,36;14.583,83;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.360,00;7.739,36;9.099,36;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;4.755,00;50,00;4.805,00;
64; Gastos de inversiones de carácter inmaterial;625,00;50,00;675,00;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;4,47;;4,47;
8;ACTIVOS FINANCIEROS;38,32;;38,32;
83; Concesión de préstamos fuera del Sector Público;38,32;;38,32;
;TOTAL CONSOLIDADO;34.400,02;13.331,36;47.731,38;
4;TRANSFERENCIAS CORRIENTES;;15,00;15,00;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;15,00;15,00;
9;PASIVOS FINANCIEROS;;27,60;27,60;
91; Amortización de préstamos en euros;;27,60;27,60;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;42,60;42,60;
;TOTAL;34.400,02;13.373,96;47.773,98;
;;



