Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;24.048,35;24.048.350,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.702,38;8.702.380,00
3;GASTOS FINANCIEROS;12,78;12.780,00
4;TRANSFERENCIAS CORRIENTES;360,72;360.720,00
—;TOTAL OPERACIONES CORRIENTES;33.124,23;33.124.230,00
6;INVERSIONES REALES;14.583,83;14.583.830,00
—;TOTAL OPERACIONES DE CAPITAL;14.583,83;14.583.830,00
—;TOTAL OPERACIONES NO FINANCIERAS;47.708,06;47.708.060,00
8;ACTIVOS FINANCIEROS;38,32;38.320,00
—;TOTAL Capítulos 1–8;47.746,38;47.746.380,00
9;PASIVOS FINANCIEROS;27,6;27.600,00
—;TOTAL Capítulo 9;27,6;27.600,00
—;TOTAL PRESUPUESTO;47.773,98;47.773.980,00
4;TRANSFERENCIAS CORRIENTES;–15,00;–15.000,00
9;PASIVOS FINANCIEROS;–27,60;–27.600,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–42,60;–42.600,00
;TOTAL CONSOLIDADO;47.731,38;47.731.380,00
