;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por organismos y artículos del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;18.106;;Total;
1;GASTOS DE PERSONAL;13.155,23;;13.155,23;
10; Altos cargos;141,34;;141,34;
11; Personal eventual;256,59;;256,59;
12; Funcionarios;5.713,96;;5.713,96;
13; Laborales;3.771,89;;3.771,89;
15; Incentivos al rendimiento;851,23;;851,23;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.420,22;;2.420,22;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;63.937,85;;63.937,85;
21; Reparaciones, mantenimiento y conservación;1.614,39;;1.614,39;
22; Material, suministros y otros;14.262,96;;14.262,96;
23; Indemnizaciones por razón del servicio;400,87;;400,87;
24; Gastos de publicaciones;25,00;;25,00;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;47.634,63;;47.634,63;
3;GASTOS FINANCIEROS;160,00;;160,00;
35; Intereses de demora y otros gastos financieros;160,00;;160,00;
4;TRANSFERENCIAS CORRIENTES;202.539,22;;202.539,22;
45; A Comunidades Autónomas;8.880,00;;8.880,00;
46; A Entidades Locales;48.477,50;;48.477,50;
47; A empresas privadas;130,00;;130,00;
48; A familias e instituciones sin fines de lucro;145.051,72;;145.051,72;
6;INVERSIONES REALES;31.769,63;;31.769,63;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;875,75;;875,75;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;2.494,24;;2.494,24;
64; Gastos de inversiones de carácter inmaterial;757,99;;757,99;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;27.641,65;;27.641,65;
7;TRANSFERENCIAS DE CAPITAL;72.127,66;;72.127,66;
75; A Comunidades Autónomas;19.687,00;;19.687,00;
76; A Entidades Locales;37.043,16;;37.043,16;
77; A empresas privadas;80,00;;80,00;
78; A familias e instituciones sin fines de lucro;15.317,50;;15.317,50;
8;ACTIVOS FINANCIEROS;642,51;;642,51;
83; Concesión de préstamos fuera del Sector Público;642,51;;642,51;
;TOTAL CONSOLIDADO;384.332,10;;384.332,10;
;TOTAL;384.332,10;;384.332,10;
;;



