Económica;Explicación;18.106;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;13.155,23;13.155,23;13.155.230,00
10;Altos cargos;141,34;141,34;141.340,00
11;Personal eventual;256,59;256,59;256.590,00
12;Funcionarios;5.713,96;5.713,96;5.713.960,00
13;Laborales;3.771,89;3.771,89;3.771.890,00
15;Incentivos al rendimiento;851,23;851,23;851.230,00
16;Cuotas, prestaciones y gastos sociales;2.420,22;2.420,22;2.420.220,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;63.937,85;63.937,85;63.937.850,00
21;Reparaciones, mantenimiento y conservación;1.614;1.614,39;1.614.390,00
22;Material, suministros y otros;14.262,96;14.262,96;14.262.960,00
23;Indemnizaciones por razón del servicio;400,87;400,87;400.870,00
24;Gastos de publicaciones;25;25;25.000,00
29;Mecanismo de Recuperación y Resiliencia;47.634,63;47.634,63;47.634.630,00
3;GASTOS FINANCIEROS;160,00;160;160.000,00
4;TRANSFERENCIAS CORRIENTES;202.539,22;202.539,22;202.539.220,00
6;INVERSIONES REALES;31.769,63;31.769,63;31.769.630,00
7;TRANSFERENCIAS DE CAPITAL;72.127,66;72.127,66;72.127.660,00
8;ACTIVOS FINANCIEROS;642,51;642,51;642.510,00
—;TOTAL CONSOLIDADO;—;384.332,10;384.332.100,00
