Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;88.734,88;88.734.880,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;52.700,40;52.700.400,00
3;GASTOS FINANCIEROS;40,5;40.500,00
4;TRANSFERENCIAS CORRIENTES;646.336,41;646.336.410,00
—;TOTAL OPERACIONES CORRIENTES;787.812,19;787.812.190,00
6;INVERSIONES REALES;37.240,02;37.240.020,00
7;TRANSFERENCIAS DE CAPITAL;207.269,71;207.269.710,00
—;TOTAL OPERACIONES DE CAPITAL;244.509,73;244.509.730,00
—;TOTAL OPERACIONES NO FINANCIERAS;1.032.321,92;1.032.321.920,00
8;ACTIVOS FINANCIEROS;11.133,94;11.133.940,00
—;TOTAL PRESUPUESTO;1.043.455,86;1.043.455.860,00
4;TRANSFERENCIAS CORRIENTES (entre subsectores);–376.246,18;–376.246.180,00
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);–123.488,83;–123.488.830,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–499.735,01;–499.735.010,00
—;TOTAL CONSOLIDADO;543.720,85;543.720.850,00
