Económica;Explicación;24.01;24.02;24.03;24.04;24.05;24.06;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;25.467,09;3.550,78;4.428,70;3.162,39;51.168,17;957,75;88.734,88;88.734.880
10;Altos cargos;208,56;61,04;61,04;61,04;61,04;71,16;523,88;523.880
11;Personal eventual;533,77;–;–;–;–;–;533,77;533.770
12;Funcionarios;16.178,87;3.002,78;3.445,22;2.380,01;23.634,46;816,28;49.457,62;49.457.620
13;Laborales;2.194,69;214,88;300,87;334,14;19.539,11;–;22.583,69;22.583.690
15;Incentivos al rendimiento;4.165,08;–;–;–;–;–;4.165,08;4.165.080
16;Cuotas, prestaciones y gastos sociales;2.186,12;272,08;621,57;387,2;7.933,56;70,31;11.470,84;11.470.840
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.859,38;592,9;3.614,16;2.361,39;35.615,17;4.657,40;52.700,40;52.700.400
20;Arrendamientos y cánones;104,00;–;1,00;18,00;498,00;2;623;623.000
21;Reparaciones, mantenimiento y conservación;648;–;391;–;4.486,88;–;5.525,88;5.525.880
22;Material, suministros y otros;4.349,38;423;2.924,41;2.095,79;29.729,87;4.483,05;44.005,50;44.005.500
23;Indemnizaciones por razón del servicio;758,00;14,02;297,75;247,60;900,42;172,35;2.390,14;2.390.140
24;Gastos de publicaciones;–;155,88;–;–;–;–;155,88;155.880
3;GASTOS FINANCIEROS;3,50;–;–;–;37;–;40,5;40.500
35;Intereses de demora y otros gastos financieros;3,50;–;–;–;37,00;–;40,5;40.500
4;TRANSFERENCIAS CORRIENTES;210.386,50;–;8.364,05;22.210,42;28.051,77;1.077,49;270.090,23;270.090.230
44;A entidades del Sector Público Estatal;–;–;460;19.156,85;–;–;19.616,85;19.616.850
45;A Comunidades Autónomas;–;–;650;100;3.845,05;–;4.595,05;4.595.050
46;A Entidades Locales;–;–;1.680,00;15.600,00;1.993,96;–;19.273,96;19.273.960
47;A empresas privadas;–;–;1.900,00;1.500,00;300;–;3.700,00;3.700.000
48;A familias e instituciones sin fines de lucro;210.386,50;–;3.600,60;4.550,42;2.523,45;754,99;221.815,96;221.815.960
49;Al exterior;–;–;533,45;–;232,46;322,5;1.088,41;1.088.410
6;INVERSIONES REALES;3.547,00;44;2.331,15;478;30.812,55;27,32;37.240,02;37.240.020
60;Infraestructuras uso general;–;–;–;–;4.000,00;–;4.000,00;4.000.000
62;Inversión nueva funcionamiento operativo;150;22;1.176,15;159;10.112,84;27,32;11.647,31;11.647.310
63;Reposición funcionamiento operativo;1.673,00;–;60;35;14.581,62;–;16.349,62;16.349.620
64;Inversiones inmateriales;1.724,00;22;1.095,00;284,00;2.118,09;–;5.243,09;5.243.090
7;TRANSFERENCIAS DE CAPITAL;–;–;3.355,88;58.336,00;22.089,00;–;83.780,88;83.780.880
75;A Comunidades Autónomas;–;–;–;31.947,50;448,00;–;32.395,50;32.395.500
76;A Entidades Locales;–;–;1.100,00;22.358,50;20.760,00;–;44.218,50;44.218.500
77;A empresas privadas;–;–;1.690,88;3.940,00;–;–;5.630,88;5.630.880
78;A familias e instituciones sin fines de lucro;–;–;565;90;881,00;–;1.536,00;1.536.000
8;ACTIVOS FINANCIEROS;133,94;–;–;11.000,00;–;–;11.133,94;11.133.940
82;Préstamos al Sector Público;–;–;–;11.000,00;–;–;11.000,00;11.000.000
83;Préstamos fuera del Sector Público;133,94;–;–;–;–;–;133,94;133.940
—;TOTAL CONSOLIDADO;245.397,41;4.187,68;22.093,94;97.548,20;167.773,66;6.719,96;543.720,85;543.720.850
4;TRANSFERENCIAS CORRIENTES;376.136,18;–;–;–;110,00;–;376.246,18;376.246.180
41;A Organismos Autónomos;330.305,12;–;–;–;–;–;330.305,12;330.305.120
43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;45.831,06;–;–;–;110;–;45.941,06;45.941.060
7;TRANSFERENCIAS DE CAPITAL;123.488,83;–;–;–;–;–;123.488,83;123.488.830
71;A Organismos Autónomos;89.806,58;–;–;–;–;–;89.806,58;89.806.580
73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;33.682,25;–;–;–;–;–;33.682,25;33.682.250
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;499.625,01;–;–;–;110,00;–;499.735,01;499.735.010
—;TOTAL MINISTERIO DE CULTURA;745.022,42;4.187,68;22.093,94;97.658,20;167.773,66;6.719,96;1.043.455,86;1.043.455.860
