Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;921M;10;Altos cargos;269,6;269.600,00
1;921M;11;Personal eventual;530,53;530.530,00
1;921M;12;Funcionarios;21.530,93;21.530.930,00
1;921M;13;Laborales;650,43;650.430,00
1;921M;15;Incentivos al rendimiento;2.060,74;2.060.740,00
1;921M;16;Cuotas, prestaciones y gastos sociales;1.513,15;1.513.150,00
—;—;—;Total Gastos de Personal;26.555,38;26.555.380,00
1;921M;20;Arrendamientos y cánones;2.894,77;2.894.770,00
1;921M;21;Reparaciones, mantenimiento y conservación;860,85;860.850,00
1;921M;22;Material, suministros y otros;3.064,56;3.064.560,00
1;921M;23;Indemnizaciones por razón del servicio;356,62;356.620,00
1;921M;24;Gastos de publicaciones;53,1;53.100,00
—;—;—;Total Bienes y Servicios;7.229,90;7.229.900,00
1;921M;62;Inversión nueva operativa;70,13;70.130,00
1;921M;63;Inversión de reposición operativa;7.414,78;7.414.780,00
1;921M;64;Gastos de inversiones inmateriales;33,71;33.710,00
—;—;—;Total Inversiones Reales;7.518,62;7.518.620,00
1;921M;83;Préstamos fuera del sector público;59,77;59.770,00
—;—;—;Total Activos Financieros;59,77;59.770,00
1;921M;—;Dirección y Servicios Generales;41.363,67;41.363.670,00
2;921P;10;Altos cargos;1.352,15;1.352.150,00
2;921P;11;Personal eventual;5.877,66;5.877.660,00
2;921P;12;Funcionarios;161.663,64;161.663.640,00
2;921P;13;Laborales;21.434,10;21.434.100,00
2;921P;15;Incentivos al rendimiento;12.002,46;12.002.460,00
2;921P;16;Cuotas, prestaciones y gastos sociales;27.879,28;27.879.280,00
—;—;—;Total Gastos de Personal;230.209,29;230.209.290,00
2;921P;20–23;Arrendamientos, reparaciones, suministros, indemnizaciones;36.562,30;36.562.300,00
2;921P;35;Intereses de demora;2.763,20;2.763.200,00
2;921P;48;Pensión vitalicia (Alcalá 20);29,13;29.130,00
2;921P;62–63;Inversión nueva y reposición;15.995,75;15.995.750,00
2;921P;83;Préstamos fuera del sector público;305,13;305.130,00
2;921P;;Administración General del Estado en el Territorio;285.864,80;285.864.800,00
2;922M;10;Altos cargos;334,58;334.580,00
2;922M;11;Personal eventual;249,6;249.600,00
2;922M;12;Funcionarios;8.125,19;8.125.190,00
2;922M;13;Laborales;51,52;51.520,00
2;922M;15;Incentivos al rendimiento;1.696,15;1.696.150,00
2;922M;16;Cuotas, prestaciones y gastos sociales;1.071,51;1.071.510,00
2;922M;22–23;Suministros, indemnizaciones;200,54;200.540,00
2;922M;48;Fundación Manuel Giménez Abad;30;30.000,00
2;922M;;Organización territorial del Estado y desarrollo de sus sistemas de colaboración;11.759,09;11.759.090,00
2;942A;12;Funcionarios;1.843,84;1.843.840,00
2;942A;16;Cuotas, prestaciones y gastos sociales;329,09;329.090,00
—;—;—;Total Gastos de Personal;2.172,93;2.172.930,00
2;942A;21;Reparaciones, mantenimiento;60;60.000,00
2;942A;22;Material, suministros y otros;1.405,40;1.405.400,00
—;—;—;Total Bienes y Servicios;1.465,40;1.465.400,00
2;942A;48;A familias e instituciones sin fines de lucro;2.625,00;2.625.000,00
—;—;—;Total Transferencias Corrientes;2.625,00;2.625.000,00
2;942A;64;Gastos de inversiones inmateriales;360;360.000,00
—;—;—;Total Inversiones Reales;360;360.000,00
2;942A;74;A entidades del sector público estatal;20.520,00;20.520.000,00
2;942A;75;A Comunidades Autónomas;30.000,00;30.000.000,00
2;942A;76;A Entidades Locales;1.266,00;1.266.000,00
2;942A;78;A familias e instituciones sin fines de lucro;30;30.000,00
—;—;—;Total Transferencias de Capital;51.816,00;51.816.000,00
2;942A;;Cooperación económica local del Estado;58.439,33;58.439.330,00
3;925M;10;Altos cargos;141,36;141.360,00
3;925M;11;Personal eventual;251,52;251.520,00
3;925M;12;Funcionarios;688,32;688.320,00
3;925M;16;Cuotas, prestaciones y gastos sociales;130,8;130.800,00
—;—;—;Total Gastos de Personal;1.212,00;1.212.000,00
3;925M;22;Material, suministros y otros;3.340,00;3.340.000,00
3;925M;23;Indemnizaciones por razón del servicio;200;200.000,00
—;—;—;Total Bienes y Servicios;3.540,00;3.540.000,00
3;925M;44;A entidades del sector público estatal;100;100.000,00
3;925M;45;A Comunidades Autónomas;3.300,00;3.300.000,00
3;925M;46;A Entidades Locales;650;650.000,00
3;925M;48;A familias e instituciones sin fines de lucro;1.600,00;1.600.000,00
—;—;—;Total Transferencias Corrientes;5.650,00;5.650.000,00
3;925M;62;Inversión nueva operativa;1.950,00;1.950.000,00
—;—;—;Total Inversiones Reales;1.950,00;1.950.000,00
3;925M;75;A Comunidades Autónomas;1.600,00;1.600.000,00
—;—;—;Total Transferencias de Capital;1.600,00;1.600.000,00
3;925M;;Memoria democrática;13.952,00;13.952.000,00
3;;;Secretaría de Estado de Memoria Democrática;13.952,00;13.952.000,00
;;;TOTAL MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA;411.378,89;41.137.889,00
