Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;271.678,15;271.678.150,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;48.998,14;48.998.140,00
3;GASTOS FINANCIEROS;2.763,20;2.763.200,00
4;TRANSFERENCIAS CORRIENTES;8.334,13;8.334.130,00
—;TOTAL OPERACIONES CORRIENTES;331.773,62;331.773.620,00
6;INVERSIONES REALES;25.824,37;25.824.370,00
7;TRANSFERENCIAS DE CAPITAL;53.416,00;53.416.000,00
—;TOTAL OPERACIONES DE CAPITAL;79.240,37;79.240.370,00
—;TOTAL OPERACIONES NO FINANCIERAS;411.013,99;411.013.990,00
8;ACTIVOS FINANCIEROS;364,90;364.900,00
—;TOTAL PRESUPUESTO;411.378,89;411.378.890,00
—;TOTAL CONSOLIDADO;411.378,89;411.378.890,00
