;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 22 MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;921M;;Dirección y Servicios Generales de Política Territorial y Memoria Democrática;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;269,60;
;;;100;Retribuciones básicas y otras remuneraciones;;269,60;
;;;10000; Retribuciones básicas;133,52;;
;;;10001; Retribuciones complementarias;136,08;;
v;;;11;Personal eventual;;530,53;
;;;110;Retribuciones básicas y otras remuneraciones;;530,53;
;;;11000; Retribuciones básicas;179,80;;
;;;11001; Retribuciones complementarias;350,73;;
v;;;12;Funcionarios;;21.530,93;
;;;120;Retribuciones básicas;;7.533,01;
;;;12000; Sueldos del grupo A1 y grupo A;2.312,26;;
;;;12001; Sueldos del grupo A2 y grupo B;2.267,50;;
;;;12002; Sueldos del grupo C1 y grupo C;1.666,36;;
;;;12003; Sueldos del grupo C2 y grupo D;1.139,12;;
;;;12005; Trienios;57,95;;
;;;12006; Pagas extraordinarias;89,82;;
;;;121;Retribuciones complementarias;;13.997,92;
;;;12100; Complemento de destino;919,73;;
;;;12101; Complemento específico;1.431,19;;
;;;12181; Necesidades adicionales;11.647,00;;
v;;;13;Laborales;;650,43;
;;;130;Laboral fijo;;650,43;
;;;13000; Retribuciones básicas;632,87;;
;;;13001; Otras remuneraciones;17,56;;
v;;;15;Incentivos al rendimiento;;2.060,74;
v;;;150;Productividad;;2.028,49;
v;;;151;Gratificaciones;;32,25;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.513,15;
;;;160;Cuotas sociales;;1.281,79;
v;;;16000; Seguridad Social;1.281,79;;
;;;162;Gastos sociales del personal;;231,36;
v;;;16200; Formación y perfeccionamiento del personal;47,23;;
v;;;16201; Economatos y comedores;0,79;;
v;;;16204; Acción social;73,24;;
;;;16205; Seguros;6,84;;
;;;16209; Otros;103,26;;
;;;;TOTAL GASTOS DE PERSONAL;;26.555,38;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;2.894,77;
v;;;202;Arrendamientos de edificios y otras construcciones;;2.868,69;
;;;203;Arrendamientos de maquinaria, instalaciones y utillaje;;7,00;
;;;205;Arrendamientos de mobiliario y enseres;;19,08;
v;;;21;Reparaciones, mantenimiento y conservación;;860,85;
;;;212;Edificios y otras construcciones;;331,98;
;;;213;Maquinaria, instalaciones y utillaje;;398,27;
;;;215;Mobiliario y enseres;;100,60;
;;;216;Equipos para procesos de la información;;30,00;
v;;;22;Material, suministros y otros;;3.064,56;
;;;220;Material de oficina;;273,82;
;;;22000; Ordinario no inventariable;130,00;;
;;;22001; Prensa, revistas, libros y otras publicaciones;98,82;;
;;;22002; Material informático no inventariable;45,00;;
;;;221;Suministros;;1.026,34;
;;;22100; Energía eléctrica;569,04;;
;;;22101; Agua;281,00;;
;;;22102; Gas;114,44;;
;;;22104; Vestuario;8,00;;
;;;22106; Productos farmacéuticos y material sanitario;7,00;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;32,56;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;3,00;;
;;;22199; Otros suministros;11,30;;
;;;222;Comunicaciones;;21,76;
;;;22200; Servicios de telecomunicaciones;1,76;;
;;;22201; Postales y mensajería;20,00;;
;;;223;Transportes;;154,31;
;;;224;Primas de seguros;;4,00;
;;;225;Tributos;;275,66;
v;;;22502; Locales;275,66;;
;;;226;Gastos diversos;;441,57;
v;;;22601; Atenciones protocolarias y representativas;32,60;;
;;;22602; Publicidad y propaganda;76,60;;
;;;22603; Jurídicos, contenciosos;21,35;;
;;;22606; Reuniones, conferencias y cursos;310,02;;
;;;22699; Otros;1,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;867,10;
;;;22706; Estudios y trabajos técnicos;767,86;;
