;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;331M;;Dirección y Servicios Generales de Cultura;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;208,56;
;;;100;Retribuciones básicas y otras remuneraciones;;208,56;
;;;10000; Retribuciones básicas;114,61;;
;;;10001; Retribuciones complementarias;93,95;;
v;;;11;Personal eventual;;533,77;
;;;110;Retribuciones básicas y otras remuneraciones;;533,77;
;;;11000; Retribuciones básicas;200,08;;
;;;11001; Retribuciones complementarias;333,69;;
v;;;12;Funcionarios;;16.178,87;
;;;120;Retribuciones básicas;;3.038,90;
;;;12000; Sueldos del grupo A1 y grupo A;507,82;;
;;;12001; Sueldos del grupo A2 y grupo B;503,78;;
;;;12002; Sueldos del grupo C1 y grupo C;592,69;;
;;;12003; Sueldos del grupo C2 y grupo D;401,38;;
;;;12005; Trienios;473,72;;
;;;12006; Pagas extraordinarias;559,51;;
;;;121;Retribuciones complementarias;;13.139,97;
;;;12100; Complemento de destino;1.340,42;;
;;;12101; Complemento específico;1.717,55;;
;;;12181; Necesidades adicionales;10.082,00;;
v;;;13;Laborales;;2.194,69;
;;;130;Laboral fijo;;1.964,45;
;;;13000; Retribuciones básicas;1.800,68;;
;;;13001; Otras remuneraciones;163,77;;
;;;131;Laboral eventual;;230,24;
v;;;15;Incentivos al rendimiento;;4.165,08;
v;;;150;Productividad;;4.077,83;
v;;;151;Gratificaciones;;87,25;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;2.186,12;
;;;160;Cuotas sociales;;1.453,81;
v;;;16000; Seguridad Social;1.453,81;;
;;;162;Gastos sociales del personal;;732,31;
v;;;16200; Formación y perfeccionamiento del personal;210,38;;
;;;16202; Transporte de personal;27,96;;
v;;;16204; Acción social;278,38;;
;;;16205; Seguros;4,10;;
;;;16209; Otros;211,49;;
;;;;TOTAL GASTOS DE PERSONAL;;25.467,09;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;104,00;
v;;;202;Arrendamientos de edificios y otras construcciones;;20,00;
;;;205;Arrendamientos de mobiliario y enseres;;5,00;
;;;206;Arrendamientos de equipos para procesos de información;;79,00;
v;;;21;Reparaciones, mantenimiento y conservación;;648,00;
;;;212;Edificios y otras construcciones;;106,23;
;;;213;Maquinaria, instalaciones y utillaje;;133,23;
;;;215;Mobiliario y enseres;;130,09;
;;;216;Equipos para procesos de la información;;278,45;
v;;;22;Material, suministros y otros;;4.349,38;
;;;220;Material de oficina;;292,80;
;;;22000; Ordinario no inventariable;45,50;;
;;;22001; Prensa, revistas, libros y otras publicaciones;77,30;;
;;;22002; Material informático no inventariable;170,00;;
;;;221;Suministros;;1.809,60;
;;;22100; Energía eléctrica;1.491,15;;
;;;22101; Agua;23,10;;
;;;22102; Gas;6,99;;
;;;22103; Combustible;128,72;;
;;;22104; Vestuario;30,00;;
;;;22106; Productos farmacéuticos y material sanitario;47,96;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;51,68;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;20,00;;
;;;22199; Otros suministros;10,00;;
;;;222;Comunicaciones;;88,50;
;;;22200; Servicios de telecomunicaciones;83,50;;
;;;22201; Postales y mensajería;5,00;;
;;;223;Transportes;;250,00;
;;;224;Primas de seguros;;3,00;
;;;225;Tributos;;235,00;
v;;;22502; Locales;235,00;;
;;;226;Gastos diversos;;319,54;
v;;;22601; Atenciones protocolarias y representativas;28,67;;
;;;22602; Publicidad y propaganda;30,00;;
;;;22603; Jurídicos, contenciosos;5,00;;
;;;22606; Reuniones, conferencias y cursos;170,87;;
;;;22607; Oposiciones y pruebas selectivas;85,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;1.350,94;
;;;22705; Procesos electorales y consultas populares;2,20;;
;;;22706; Estudios y trabajos técnicos;1.298,74;;
;;;22799; Otros;50,00;;
v;;;23;Indemnizaciones por razón del servicio;;758,00;
;;;230;Dietas;;150,00;
;;;231;Locomoción;;150,00;
;;;232;Traslado;;3,00;
;;;233;Otras indemnizaciones;;455,00;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;5.859,38;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;35;Intereses de demora y otros gastos financieros;;3,50;
v;;;352;Intereses de demora;;3,50;
;;;;TOTAL GASTOS FINANCIEROS;;3,50;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;36,50;
v;;;480;Pensiones complementarias del personal de MECSE;;36,50;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;36,50;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;150,00;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;150,00;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.673,00;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.673,00;
;;;64;Gastos de inversiones de carácter inmaterial;;1.724,00;
;;;640;Gastos en inversiones de carácter inmaterial;;1.724,00;
;;;;TOTAL INVERSIONES REALES;;3.547,00;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;83;Concesión de préstamos fuera del Sector Público;;133,94;
v;;;830;Préstamos a corto plazo;;10,37;
;;;83008; Familias e instituciones sin fines de lucro;10,37;;
v;;;831;Préstamos a largo plazo;;123,57;
;;;83108; Familias e instituciones sin fines de lucro;123,57;;
;;;;TOTAL ACTIVOS FINANCIEROS;;133,94;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Cultura;;35.047,41;
 ; ;;;;;;
v;;334A;;Promoción y cooperación cultural;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;210.350,00;
v;;;482;Bono cultural joven;;210.000,00;
v;;;487;Para gastos de funcionamiento de fundaciones y asociaciones vinculadas con partidos políticos con representación en las Cortes Generales, que realicen actividades de estudio y desarrollo del pensamiento político y social, en función de la representación obtenida por estos;;350,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;210.350,00;
 ; ;;;;;;
;;;;TOTAL Promoción y cooperación cultural;;210.350,00;
 ; ;;;;;;
v;;000X;;Transferencias y libramientos internos;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;41;A Organismos Autónomos;;330.305,12;
v;;;412;A la Biblioteca Nacional de España;;24.134,90;
v;;;413;Al Instituto de la Cinematografía y de las Artes Audiovisuales para la promoción a través de las comunidades autónomas de la cinematografía en lenguas oficiales, de las salas cinematográficas y la creación de audiencias, y de escrituras de guiones y desarrollo de proyectos;;39.000,00;
v;;;414;Al Instituto de la Cinematografía y de las Artes Audiovisuales;;9.927,34;
v;;;415;Al Instituto de la Cinematografía y de las Artes Audiovisuales. Dotación del Fondo de Protección a la Cinematografía;;105.771,61;
v;;;416;Al Instituto Nacional de las Artes Escénicas y de la Música;;144.900,82;
v;;;417;A la Gerencia de Infraestructuras y Equipamientos de Cultura;;6.570,45;
v;;;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;45.831,06;
v;;;437;Al Museo Nacional del Prado;;20.948,90;
v;;;438;Al Museo Nacional Centro de Arte Reina Sofía;;24.882,16;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;376.136,18;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;71;A Organismos Autónomos;;89.806,58;
v;;;712;A la Biblioteca Nacional de España;;5.094,18;
v;;;714;Al Instituto de la Cinematografía y de las Artes Audiovisuales;;585,00;
v;;;716;Al Instituto Nacional de las Artes Escénicas y de la Música;;15.726,33;
v;;;717;A la Gerencia de Infraestructuras y Equipamientos de Cultura;;68.401,07;
v;;;73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;33.682,25;
v;;;737;Al Museo Nacional del Prado;;27.082,25;
v;;;738;Al Museo Nacional Centro de Arte Reina Sofía;;6.600,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;123.488,83;
 ; ;;;;;;
;;;;TOTAL Transferencias y libramientos internos;;499.625,01;
 ; ;;;;;;
;;;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;745.022,42;
 ; ;;;;;;
 ; ;;;;;;
v;02;;;SECRETARÍA GENERAL TÉCNICA;;;
v;;331M;;Dirección y Servicios Generales de Cultura;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;61,04;
;;;100;Retribuciones básicas y otras remuneraciones;;61,04;
;;;10000; Retribuciones básicas;18,91;;
;;;10001; Retribuciones complementarias;42,13;;
v;;;12;Funcionarios;;3.002,78;
;;;120;Retribuciones básicas;;1.474,40;
;;;12000; Sueldos del grupo A1 y grupo A;343,44;;
;;;12001; Sueldos del grupo A2 y grupo B;283,52;;
;;;12002; Sueldos del grupo C1 y grupo C;163,32;;
;;;12003; Sueldos del grupo C2 y grupo D;155,91;;
;;;12005; Trienios;261,83;;
;;;12006; Pagas extraordinarias;266,38;;
;;;121;Retribuciones complementarias;;1.528,38;
;;;12100; Complemento de destino;657,80;;
;;;12101; Complemento específico;870,58;;
v;;;13;Laborales;;214,88;
;;;130;Laboral fijo;;153,50;
;;;13000; Retribuciones básicas;139,34;;
;;;13001; Otras remuneraciones;14,16;;
;;;131;Laboral eventual;;61,38;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;272,08;
;;;160;Cuotas sociales;;272,08;
v;;;16000; Seguridad Social;272,08;;
;;;;TOTAL GASTOS DE PERSONAL;;3.550,78;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;423,00;
;;;220;Material de oficina;;20,00;
;;;22001; Prensa, revistas, libros y otras publicaciones;20,00;;
;;;226;Gastos diversos;;1,17;
v;;;22601; Atenciones protocolarias y representativas;1,17;;
;;;227;Trabajos realizados por otras empresas y profesionales;;401,83;
;;;22706; Estudios y trabajos técnicos;401,83;;
v;;;23;Indemnizaciones por razón del servicio;;14,02;
;;;230;Dietas;;8,66;
;;;231;Locomoción;;5,36;
v;;;24;Gastos de publicaciones;;155,88;
;;;240;Gastos de edición y distribución;;155,88;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;592,90;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;22,00;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;22,00;
;;;64;Gastos de inversiones de carácter inmaterial;;22,00;
;;;640;Gastos en inversiones de carácter inmaterial;;22,00;
;;;;TOTAL INVERSIONES REALES;;44,00;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Cultura;;4.187,68;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL TÉCNICA;;4.187,68;
 ; ;;;;;;
 ; ;;;;;;
v;03;;;DIRECCIÓN GENERAL DEL LIBRO, DEL CÓMIC Y DE LA LECTURA;;;
v;;144A;;Cooperación, promoción y difusión cultural en el exterior;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;359,81;
;;;220;Material de oficina;;22,80;
;;;22001; Prensa, revistas, libros y otras publicaciones;22,40;;
;;;22002; Material informático no inventariable;0,40;;
;;;221;Suministros;;0,80;
;;;22199; Otros suministros;0,80;;
;;;222;Comunicaciones;;0,40;
;;;22201; Postales y mensajería;0,40;;
;;;223;Transportes;;13,60;
;;;226;Gastos diversos;;189,27;
;;;22606; Reuniones, conferencias y cursos;170,27;;
;;;22615; Gastos diversos en el exterior;15,00;;
;;;22699; Otros;4,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;132,94;
;;;22706; Estudios y trabajos técnicos;115,74;;
;;;22715; Trabajos realizados por otras empresas y profesionales en el exterior;10,00;;
;;;22799; Otros;7,20;;
v;;;23;Indemnizaciones por razón del servicio;;100,00;
;;;230;Dietas;;50,00;
;;;231;Locomoción;;50,00;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;459,81;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;176,60;
v;;;488;Ayudas relacionadas con el libro;;176,60;
v;;;48801; A la Organización Española para el Libro Infantil y Juvenil (OEPLI);5,00;;
v;;;48802; A la Federación de Gremios de Editores de España para la promoción internacional;171,60;;
v;;;49;Al exterior;;482,00;
v;;;490;Cuotas a organismos internacionales y ayudas a proyectos para la difusión de la cultura española en el exterior;;482,00;
;;;49012; Cuotas de España como país miembro del Centro Regional para el Fomento del Libro en América Latina y el Caribe (CERLALC);82,00;;
;;;49013; Ayudas para la traducción de libros a lenguas extranjeras;400,00;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;658,60;
 ; ;;;;;;
;;;;TOTAL Cooperación, promoción y difusión cultural en el exterior;;1.118,41;
 ; ;;;;;;
v;;332B;;Bibliotecas;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;12;Funcionarios;;1.977,36;
;;;120;Retribuciones básicas;;1.237,11;
;;;12000; Sueldos del grupo A1 y grupo A;240,45;;
;;;12001; Sueldos del grupo A2 y grupo B;664,69;;
;;;12002; Sueldos del grupo C1 y grupo C;63,86;;
;;;12003; Sueldos del grupo C2 y grupo D;15,75;;
;;;12005; Trienios;63,45;;
;;;12006; Pagas extraordinarias;188,91;;
;;;121;Retribuciones complementarias;;740,25;
;;;12100; Complemento de destino;370,74;;
;;;12101; Complemento específico;369,51;;
v;;;13;Laborales;;35,11;
;;;131;Laboral eventual;;35,11;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;370,89;
;;;160;Cuotas sociales;;370,89;
v;;;16000; Seguridad Social;370,89;;
;;;;TOTAL GASTOS DE PERSONAL;;2.383,36;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;1,00;
;;;205;Arrendamientos de mobiliario y enseres;;1,00;
v;;;21;Reparaciones, mantenimiento y conservación;;235,00;
;;;216;Equipos para procesos de la información;;235,00;
v;;;22;Material, suministros y otros;;1.322,76;
;;;220;Material de oficina;;300,00;
;;;22001; Prensa, revistas, libros y otras publicaciones;300,00;;
;;;221;Suministros;;2,33;
;;;22101; Agua;0,93;;
;;;22199; Otros suministros;1,40;;
;;;223;Transportes;;1,23;
;;;225;Tributos;;15,00;
v;;;22502; Locales;15,00;;
;;;226;Gastos diversos;;489,00;
;;;22606; Reuniones, conferencias y cursos;410,00;;
;;;22616; Para el pago de la remuneración por los préstamos realizados por las bibliotecas públicas establecido por la Directiva 92/100/CEE, que ha pasado a ser la Directiva 2006/115/CE, instrumentado a través de convenios con entidades de gestión de derechos de autor;65,00;;
;;;22699; Otros;14,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;515,20;
;;;22706; Estudios y trabajos técnicos;500,00;;
;;;22799; Otros;15,20;;
v;;;23;Indemnizaciones por razón del servicio;;14,75;
;;;230;Dietas;;7,40;
;;;231;Locomoción;;7,35;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.573,51;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;45;A Comunidades Autónomas;;450,00;
v;;;451;Ayudas a la confección del Catálogo Colectivo del Patrimonio Bibliográfico Español;;95,00;
v;;;454;Ayudas para el Patrimonio Bibliográfico Español y Patrimonio Digital;;355,00;
;;;45402; Ayudas a comunidades autónomas y universidades para la preservación del Patrimonio Digital;355,00;;
v;;;46;A Entidades Locales;;100,00;
v;;;463;Ayudas para la preservación del Patrimonio Digital;;100,00;
