Orgánica;Económica;Explicación;26.04 ;26.12 ;Total (miles euros);Total (euros)
;1;GASTOS DE PERSONAL;990,62;3.371,76;4.362,38;4.362.380,00
26.04;10;Altos cargos;80,3;—;80,3;80.300,00
26.04;11;Personal eventual;254,57;—;254,57;254.570,00
26.04;12;Funcionarios;489,07;2.760,18;3.249,25;3.249.250,00
26.12;13;Laborales;—;110,55;110,55;110.550,00
26.04;16;Cuotas y gastos sociales (Seguridad Social);166,68;439,99;606,67;606.670,00
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;266,27;3.168,07;3.434,34;3.434.340,00
26.04;22;Material, suministros y otros;142,03;1.897,97;2.040,00;2.040.000,00
26.04;23;Indemnizaciones por razón del servicio;124,24;1.270,10;1.394,34;1.394.340,00
;6;INVERSIONES REALES;3;6;9;9.000,00
;;TOTAL POR ÓRGANO;1.259,89;6.545,83;7.805,72;7.805.720,00
