Orgánica;Económica;Explicación;Total (mil €);Total (€)
26.04;;SECRETARÍA DE ESTADO DE SANIDAD;;
41;A Organismos Autónomos;6.290,32;6.290.320,00;6.290.320,00
414;A la Organización Nacional de Trasplantes;6.290,32;6.290.320,00;6.290.320,00
42;A la Seguridad Social;2.855,00;2.855.000,00;2.855.000,00
427;A la Tesorería General de la Seguridad Social – Instituto Social de la Marina;2.855,00;2.855.000,00;2.855.000,00
43;A otras entidades del Sector Público Administrativo Estatal;8,8;8.800,00;8.800,00
431;A la Agencia Española de Medicamentos y Productos Sanitarios;8,8;8.800,00;8.800,00
Subtotal Transferencias Corrientes 26.04;;9.154,12;9.154,12;9.154.120,00
71;A Organismos Autónomos;247,55;247.550,00;247.550,00
714;A la Organización Nacional de Trasplantes;247,55;247.550,00;247.550,00
72;A la Seguridad Social;20;20.000,00;20.000,00
727;A la Tesorería General de la Seguridad Social – Instituto Social de la Marina;20;20.000,00;20.000,00
Subtotal Transferencias de Capital 26.04;;267.550,00;267,55;267.550,00
Total Secretaría de Estado de Sanidad;;9.421.670,00;9.421,67;9.421.670,00
26.09;;DIRECCIÓN GENERAL DE CARTERA COMÚN DE SERVICIOS DEL SNS Y FARMACIA;;
41;A Organismos Autónomos;824,51;824,51;824.510,00
411;Al Instituto de Salud Carlos III – Agencia de Evaluación de Tecnologías Sanitarias;824,51;824,51;824.510,00
42;A la Seguridad Social;283.047,94;283.047,94;283.047.940,00
421;INGESA – operaciones corrientes;276.753,91;276.753,91;276.753.910,00
422;INGESA – compensación por atención interterritorial;5.732,02;5.732,02;5.732.020,00
423;INGESA – Plan de Calidad en Ceuta y Melilla;556;556;556.000,00
425;INGESA – prestación de servicios sanitarios a terceros;6,01;6,01;6.010,00
Subtotal Transferencias Corrientes 26.09;;283.872,45;283.872,45;283.872.450,00
72;A la Seguridad Social;22.097,35;22.097,35;22.097.350,00
721;INGESA – operaciones de capital;22.097,35;22.097,35;22.097.350,00
Subtotal Transferencias de Capital 26.09;22.097,35;22.097,35;22.097,35;22.097.350,00
Total Dirección General de Cartera Común del SNS y Farmacia;305.969,80;305.969,80;305.969,80;305.969.800,00
26.301;;AGENCIA ESPAÑOLA DE MEDICAMENTOS Y PRODUCTOS SANITARIOS;;
402;Al Estado – compensación por gestión centralizada;1.763,26;1.763,26;1.763.260,00
Total AEMPS;;1.763,26;1.763,26;1.763.260,00
;TOTAL PROGRAMA 000X – TRANSFERENCIAS Y LIBRAMIENTOS INTERNOS;337.154,73;337.154,73;337.154.730,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
 ;;;;
;;;;
;;;;
;;;;
;;;;
 ;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
 ;;;;
 ;;;;
;;;;
