;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 26 MINISTERIO DE SANIDAD;
;Programa: 231A Plan Nacional sobre Drogas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;26.18;;Total;
1;GASTOS DE PERSONAL;2.840,58;;2.840,58;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;2.317,39;;2.317,39;
13; Laborales;116,66;;116,66;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;345,49;;345,49;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.130,58;;1.130,58;
21; Reparaciones, mantenimiento y conservación;72,00;;72,00;
22; Material, suministros y otros;926,73;;926,73;
23; Indemnizaciones por razón del servicio;94,85;;94,85;
24; Gastos de publicaciones;37,00;;37,00;
4;TRANSFERENCIAS CORRIENTES;10.530,89;;10.530,89;
45; A Comunidades Autónomas;9.522,40;;9.522,40;
46; A Entidades Locales;3,00;;3,00;
48; A familias e instituciones sin fines de lucro;1.002,49;;1.002,49;
49; Al exterior;3,00;;3,00;
7;TRANSFERENCIAS DE CAPITAL;609,79;;609,79;
75; A Comunidades Autónomas;125,17;;125,17;
78; A familias e instituciones sin fines de lucro;484,62;;484,62;
;TOTAL;15.111,84;;15.111,84;
;;



