Económica;Explicación;26.18 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;2.840,58;2.840,58;2.840.580,00
10;Altos cargos;61,04;61,04;61.040,00
12;Funcionarios;2.317,39;2.317,39;2.317.390,00
13;Laborales;116,66;116,66;116.660,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;345,49;345,49;345.490,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.130,58;1.130,58;1.130.580,00
21;Reparaciones, mantenimiento y conservación;72;72;72.000,00
22;Material, suministros y otros;926,73;926,73;926.730,00
23;Indemnizaciones por razón del servicio;94,85;94,85;94.850,00
24;Gastos de publicaciones;37;37;37.000,00
4;TRANSFERENCIAS CORRIENTES;10.530,89;10.530,89;10.530.890,00
45;A Comunidades Autónomas;9.522,40;9.522,40;9.522.400,00
46;A Entidades Locales;3,00;3;3.000,00
48;A familias e instituciones sin fines de lucro;1.002,49;1.002,49;1.002.490,00
49;Al exterior;3;3;3.000,00
7;TRANSFERENCIAS DE CAPITAL;609,79;609,79;609.790,00
75;A Comunidades Autónomas;125,17;125,17;125.170,00
78;A familias e instituciones sin fines de lucro;484,62;484,62;484.620,00
;TOTAL PRESUPUESTO PROGRAMA 231A – PLAN NACIONAL SOBRE DROGAS;—;15.111,84;15.111.840,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
