Económica;Explicación;26.04 (mil €);26.12 (mil €);Total (mil €);Total (€)
1;GASTOS DE PERSONAL;990,62;3.371,76;4.362,38;4.362.380,00
10;Altos cargos;80,3;61,04;141,34;141.340,00
11;Personal eventual;254,57;—;254,57;254.570,00
12;Funcionarios;489,07;2.760,18;3.249,25;3.249.250,00
13;Laborales;—;110,55;110,55;110.550,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;166,68;439,99;606,67;606.670,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;266,27;3.168,07;3.434,34;3.434.340,00
22;Material, suministros y otros;142,03;1.897,97;2.040,00;2.040.000,00
23;Indemnizaciones por razón del servicio;124,24;1.270,10;1.394,34;1.394.340,00
6;INVERSIONES REALES;3;6;9;9.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;—;3,00;3,00;3.000,00
64;Gastos de inversiones de carácter inmaterial;3;3;6;6.000,00
;TOTAL PROGRAMA 311O – Políticas de Salud y Ordenación Profesional;1.259,89;6.545,83;7.805,72;7.805.720,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
