Orgánica;Económica;Explicación;Total (mil €);Total (€)
26.01;;MINISTERIO Y SUBSECRETARÍA;;
;10;Altos cargos;208,56;208.560,00
;11;Personal eventual;528;528.000,00
;12;Funcionarios;18.676,22;18.676.220,00
;13;Laborales;351,65;351.650,00
;15;Incentivos al rendimiento;5.356,62;5.356.620,00
;150;Productividad;5.272,14;5.272.140,00
;151;Gratificaciones;84,48;84.480,00
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.668,63;1.668.630,00
;16000;Seguridad Social;1.358,02;1.358.020,00
;16200;Formación y perfeccionamiento del personal;93,04;93.040,00
;16204;Acción social;79,48;79.480,00
;;TOTAL GASTOS DE PERSONAL;26.789,68;26.789.680,00
;20;Arrendamientos y cánones;137,33;137.330,00
;202;Arrendamientos de edificios y otras construcciones;125;125.000,00
;21;Reparaciones, mantenimiento y conservación;776,36;776.360,00
;22;Material, suministros y otros;2.512,78;2.512.780,00
;22109;Labores Fábrica Nacional Moneda y Timbre;1,46;1.460,00
;22502;Locales;25;25.000,00
;22601;Atenciones protocolarias y representativas;66,73;66.730,00
;23;Indemnizaciones por razón del servicio;1.280,16;1.280.160,00
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.706,63;4.706.630,00
;6;INVERSIONES REALES;2.027,74;2.027.740,00
;83;Concesión de préstamos fuera del Sector Público;40,5;40.500,00
;830;Préstamos a corto plazo;2,5;2.500,00
;831;Préstamos a largo plazo;38;38.000,00
;;TOTAL ACTIVOS FINANCIEROS;40,5;40.500,00
;;TOTAL MINISTERIO Y SUBSECRETARÍA;33.564,55;33.564.550,00
26.02;;SECRETARÍA GENERAL TÉCNICA;;
;10;Altos cargos;61,04;61.040,00
;12;Funcionarios;2.693,45;2.693.450,00
;13;Laborales;252,64;252.640,00
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;293,14;293.140,00
;16000;Seguridad Social;293,14;293.140,00
;;TOTAL GASTOS DE PERSONAL;3.300,27;3.300.270,00
;22;Material, suministros y otros;500,66;500.660,00
;22601;Atenciones protocolarias y representativas;3;3.000,00
;23;Indemnizaciones por razón del servicio;133,13;133.130,00
;24;Gastos de publicaciones;155,54;155.540,00
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;789,33;789.330,00
;44;A entidades del Sector Público Estatal;772,06;772.060,00
;443;Fundación Estatal Salud, Infancia y Bienestar Social;772,06;772.060,00
;49;Al exterior;1.581,00;1.581.000,00
;491;Aportación a organismos y programas internacionales;1.196,00;1.196.000,00
;492;Cooperación sanitaria internacional;385;385.000,00
;;TOTAL TRANSFERENCIAS CORRIENTES;2.353,06;2.353.060,00
;6;INVERSIONES REALES;6,8;6.800,00
;74;A entidades del Sector Público Estatal;24,92;24.920,00
;743;Fundación Estatal Salud, Infancia y Bienestar Social;24,92;24.920,00
;;TOTAL TRANSFERENCIAS DE CAPITAL;24,92;24.920,00
;;TOTAL SECRETARÍA GENERAL TÉCNICA;6.474,38;6.474.380,00
;;?? TOTAL DIRECCIÓN Y SERVICIOS GENERALES DE SANIDAD;40.038,93;40.038.930,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
