;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 26 MINISTERIO DE SANIDAD;
;Programa: 311M Dirección y Servicios Generales de Sanidad;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;26.01;26.02;Total;
1;GASTOS DE PERSONAL;26.789,68;3.300,27;30.089,95;
10; Altos cargos;208,56;61,04;269,60;
11; Personal eventual;528,00;;528,00;
12; Funcionarios;18.676,22;2.693,45;21.369,67;
13; Laborales;351,65;252,64;604,29;
15; Incentivos al rendimiento;5.356,62;;5.356,62;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.668,63;293,14;1.961,77;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.706,63;789,33;5.495,96;
20; Arrendamientos y cánones;137,33;;137,33;
21; Reparaciones, mantenimiento y conservación;776,36;;776,36;
22; Material, suministros y otros;2.512,78;500,66;3.013,44;
23; Indemnizaciones por razón del servicio;1.280,16;133,13;1.413,29;
24; Gastos de publicaciones;;155,54;155,54;
4;TRANSFERENCIAS CORRIENTES;;2.353,06;2.353,06;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;772,06;772,06;
49; Al exterior;;1.581,00;1.581,00;
6;INVERSIONES REALES;2.027,74;6,80;2.034,54;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;161,40;6,80;168,20;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.666,34;;1.666,34;
64; Gastos de inversiones de carácter inmaterial;200,00;;200,00;
7;TRANSFERENCIAS DE CAPITAL;;24,92;24,92;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;24,92;24,92;
8;ACTIVOS FINANCIEROS;40,50;;40,50;
83; Concesión de préstamos fuera del Sector Público;40,50;;40,50;
;TOTAL;33.564,55;6.474,38;40.038,93;
;;



