Económica;Explicación;26.09 ;26.301;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;4.237,60;29.660,17;33.897,77;33.897.770,00
10;Altos cargos;61,04;87,23;148,27;148.270,00
12;Funcionarios;3.487,70;19.448,92;22.936,62;22.936.620,00
13;Laborales;23,77;2.418,15;2.441,92;2.441.920,00
15;Incentivos al rendimiento;—;2.032,69;2.032,69;2.032.690,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;665,09;5.673,18;6.338,27;6.338.270,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.355,70;23.374,06;29.729,76;29.729.760,00
20;Arrendamientos y cánones;—;4.156,26;4.156,26;4.156.260,00
21;Reparaciones, mantenimiento y conservación;—;1.071,15;1.071,15;1.071.150,00
22;Material, suministros y otros;6.323,70;16.815;23.138,60;23.138.600,00
23;Indemnizaciones por razón del servicio;32;1.246,99;1.278,99;1.278.990,00
24;Gastos de publicaciones;—;84,76;84,76;84.760,00
4;TRANSFERENCIAS CORRIENTES;112.593,00;1.767,00;114.360,00;114.360.000,00
45;A Comunidades Autónomas;112.593,00;168;112.761,00;112.761.000,00
48;A familias e instituciones sin fines de lucro;—;1.519,00;1.519,00;1.519.000,00
49;Al exterior;—;80;80;80.000,00
6;INVERSIONES REALES;24.306,00;3.881,39;28.187,39;28.187.390,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;24.303,00;1.995,00;26.298,00;26.298.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;—;1.886,39;1.886,39;1.886.390,00
64;Gastos de inversiones de carácter inmaterial;3;—;3;3.000,00
8;ACTIVOS FINANCIEROS;—;80;80;80.000,00
83;Concesión de préstamos fuera del Sector Público;—;80;80;80.000,00
;TOTAL PROGRAMA 313A – Prestaciones Sanitarias y Farmacia;147.492,30;58.762,62;206.254,92;206.254.920,00
