Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;453A;75100;Infraestructura transporte metropolitano Sevilla;5.586,73;5.586.730
1;453A;75101;Infraestructura transporte metropolitano Málaga;4.969,44;4.969.440
1;453A;751;A la Comunidad Autónoma de Andalucía;10.556,17;10.556.170
1;941O;451;Línea COVID — Ceuta y Melilla;50.000,00;50.000.000
1;941O;45411;Atención a menores inmigrantes — Canarias;50.000,00;50.000.000
1;941O;45902;Costes de traspaso — País Vasco;1.152,75;1.152.750
1;941O;45903;Costes de traspaso — Navarra;573,27;573.270
1;941O;459;Otras transferencias a Comunidades Autónomas;1.726,02;1.726.020
1;941O;753;Factor de Insularidad — Illes Balears;109.661,22;109.661.220
1;941O;75409;Catalunya Media City;60.000,00;60.000.000
1;941O;75410;Transición energética — edificaciones Mossos;25.000,00;25.000.000
1;941O;75411;Transición energética — flotas Mossos;18.000,00;18.000.000
1;941O;75412;Recuperación Fuerte San Cristóbal — Navarra;3.000,00;3.000.000
1;941O;755;Proyectos de inversión — Cantabria;55.000,00;55.000.000
1;941O;757;Rehabilitación IES Sagasta — La Rioja;800;800.000,00
—;—;—;TOTAL COMUNIDADES AUTÓNOMAS;383.743,41;383.743.410,00
2;942N;461;Compensaciones a municipios;5.362,40;5.362.400
2;942N;463;Saldo negativo liquidación 2020;1.681.828,16;1.681.828.160
2;942N;464;Costes desalinizadoras — Ceuta y Melilla;8.000,00;8.000.000
2;942N;465;Actuaciones en Melilla;10.250,00;10.250.000
2;942N;466;Actuaciones en Ceuta;3.250,00;3.250.000
2;942N;46903;Fundación Valle Salado — Salinas de Añana;150;150.000
2;942N;765;Inversiones — Campo de Gibraltar;7.300,00;7.300.000
2;942N;766;Reconstrucción por siniestros y catástrofes;58.322,99;58.322.990
2;942N;768;Plan de recuperación — La Palma;100.000,00;100.000.000,00
2;942N;76910;Albergue — Diputación Foral de Gipuzkoa;5.000,00;5.000.000
2;942N;76911;Reparación camino peatonal — Sukarrieta;600;600.000,00
2;942N;76912;Desarrollo sostenible — Urdaibai (Bizkaia);25.329,31;25.329.310
2;942N;76913;Espacio social — Vilanova i la Geltrú;2.000,00;2.000.000
—;—;—;TOTAL ENTIDADES LOCALES;1.907.392,86;1.907.392.860
;;;TOTAL SECCIÓN 37 — OTRAS RELACIONES FINANCIERAS CON ENTES TERRITORIALES;2.291.136,27;2.291.136.270,00
