Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
05.01;10;Altos cargos;1.028,00;1.028.000,00
05.01;11;Personal eventual;472,99;472.990,00
05.01;12;Funcionarios;6.920,20;6.920.200,00
05.01;13;Laborales;637,15;637.150,00
05.01;15;Incentivos al rendimiento;1.387,73;1.387.730,00
05.01;150;Productividad;1.304,77;1.304.770,00
05.01;151;Gratificaciones;82,96;82.960,00
05.01;16;Cuotas, prestaciones y gastos sociales;724,69;724.690,00
05.01;16000;Seguridad Social;623,67;623.670,00
05.01;16200;Formación y perfeccionamiento del personal;38,69;38.690,00
05.01;16204;Acción social;62,33;62.330,00
05.01;—;TOTAL GASTOS DE PERSONAL;11.170,76;11.170.760,00
05.01;20;Arrendamientos y cánones;25,00;25.000,00
05.01;21;Reparaciones, mantenimiento y conservación;474,80;474.800,00
05.01;22;Material, suministros y otros;1.983,30;1.983.300,00
05.01;22502;Locales;65,00;65.000,00
05.01;22601;Atenciones protocolarias y representativas;95,00;95.000,00
05.01;23;Indemnizaciones por razón del servicio;330,00;330.000,00
05.01;24;Gastos de publicaciones;61,00;61.000,00
05.01;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.874,10;2.874.100,00
05.01;48;A familias e instituciones sin fines de lucro;232,96;232.960,00
05.01;482;Indemnizaciones;232,96;232.960,00
05.01;—;TOTAL TRANSFERENCIAS CORRIENTES;232,96;232.960,00
05.01;6;Inversiones reales;400,00;400.000,00
05.01;83;Concesión de préstamos fuera del Sector Público;9,02;9.020,00
05.01;830;Préstamos a corto plazo;9,02;9.020,00
05.01;—;TOTAL ACTIVOS FINANCIEROS;9,02;9.020,00
05.01;—;TOTAL CONSEJO DE ESTADO;14.686,84;14.686.840,00
;;;;
