Económica;Explicación;05.01 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;11.170,76;11.170,76;11.170.760,00
10;Altos cargos;1.028,00;1.028,00;1.028.000,00
11;Personal eventual;472,99;472,99;472.990,00
12;Funcionarios;6.920,20;6.920,20;6.920.200,00
13;Laborales;637,15;637,15;637.150,00
15;Incentivos al rendimiento;1.387,73;1.387,73;1.387.730,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;724,69;724,69;724.690,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.874,10;2.874,10;2.874.100,00
20;Arrendamientos y cánones;25;25,00;25.000,00
21;Reparaciones, mantenimiento y conservación;474,8;474,80;474.800,00
22;Material, suministros y otros;1.983,30;1.983,30;1.983.300,00
23;Indemnizaciones por razón del servicio;330;330,00;330.000,00
24;Gastos de publicaciones;61;61,00;61.000,00
4;TRANSFERENCIAS CORRIENTES;232,96;232,96;232.960,00
48;A familias e instituciones sin fines de lucro;232,96;232,96;232.960,00
6;INVERSIONES REALES;400;400,00;400.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;45;45,00;45.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;325;325,00;325.000,00
64;Gastos de inversiones de carácter inmaterial;30;30,00;30.000,00
8;ACTIVOS FINANCIEROS;9,02;9,02;9.020,00
83;Concesión de préstamos fuera del Sector Público;9,02;9,02;9.020,00
—;TOTAL;14.686,84;14.686,84;14.686.840,00
