;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 05 CONSEJO DE ESTADO;
;Programa: 912N Alto asesoramiento del Estado;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;05.01;;Total;
1;GASTOS DE PERSONAL;11.170,76;;11.170,76;
10; Altos cargos;1.028,00;;1.028,00;
11; Personal eventual;472,99;;472,99;
12; Funcionarios;6.920,20;;6.920,20;
13; Laborales;637,15;;637,15;
15; Incentivos al rendimiento;1.387,73;;1.387,73;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;724,69;;724,69;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.874,10;;2.874,10;
20; Arrendamientos y cánones;25,00;;25,00;
21; Reparaciones, mantenimiento y conservación;474,80;;474,80;
22; Material, suministros y otros;1.983,30;;1.983,30;
23; Indemnizaciones por razón del servicio;330,00;;330,00;
24; Gastos de publicaciones;61,00;;61,00;
4;TRANSFERENCIAS CORRIENTES;232,96;;232,96;
48; A familias e instituciones sin fines de lucro;232,96;;232,96;
6;INVERSIONES REALES;400,00;;400,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;45,00;;45,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;325,00;;325,00;
64; Gastos de inversiones de carácter inmaterial;30,00;;30,00;
8;ACTIVOS FINANCIEROS;9,02;;9,02;
83; Concesión de préstamos fuera del Sector Público;9,02;;9,02;
;TOTAL;14.686,84;;14.686,84;
;;



