Económica;Explicación;12.01 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;59.700,77;59.700,77;59.700.770,00
10;Altos cargos;452,65;452,65;452.650,00
11;Personal eventual;822,94;822,94;822.940,00
12;Funcionarios;44.557,16;44.557,16;44.557.160,00
13;Laborales;3.511,41;3.511,41;3.511.410,00
15;Incentivos al rendimiento;5.713,70;5.713,70;5.713.700,00
150;Productividad;5.304,95;5.304,95;5.304.950,00
151;Gratificaciones;408,75;408,75;408.750,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;4.642,91;4.642,91;4.642.910,00
16000;Seguridad Social;3.066,14;3.066,14;3.066.140,00
16200;Formación y perfeccionamiento del personal;63,26;63,26;63.260,00
16201;Economatos y comedores;211,33;211,33;211.330,00
16204;Acción social;550;550;550.000,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;23.735,97;23.735,97;23.735.970,00
20;Arrendamientos y cánones;500;500;500.000,00
202;Arrendamientos de edificios y otras construcciones;250;250;250.000,00
21;Reparaciones, mantenimiento y conservación;4.043,45;4.043,45;4.043.450,00
22;Material, suministros y otros;14.345,44;14.345,44;14.345.440,00
22109;Labores Fábrica Nacional Moneda y Timbre;10;10;10.000,00
22502;Locales;1.854,03;1.854,03;1.854.030,00
22601;Atenciones protocolarias y representativas;17,24;17,24;17.240,00
22608;Gastos reservados;186,31;186,31;186.310,00
22611;Gastos protocolarios derivados de actos institucionales;1.100,00;1.100,00;1.100.000,00
23;Indemnizaciones por razón del servicio;4.777,08;4.777,08;4.777.080,00
24;Gastos de publicaciones;70;70;70.000,00
3;GASTOS FINANCIEROS;6;6;6.000,00
35;Intereses de demora y otros gastos financieros;6;6;6.000,00
352;Intereses de demora;3;3;3.000,00
359;Otros gastos financieros;3;3;3.000,00
4;TRANSFERENCIAS CORRIENTES;543,19;543,19;543.190,00
44;A entidades del Sector Público Estatal;33,06;33,06;33.060,00
449;A la Obra Pía de los Santos Lugares;33,06;33,06;33.060,00
48;A familias e instituciones sin fines de lucro;507,12;507,12;507.120,00
481;A familias e instituciones sin fines de lucro;24,31;24,31;24.310,00
48110;Fundación CEI;24,31;24,31;24.310,00
483;Becas formativas;482,81;482,81;482.810,00
49;Al exterior;3,01;3,01;3.010,00
491;Basílica de Santa María la Mayor de Roma (Óbolo Regio);3,01;3,01;3.010,00
6;INVERSIONES REALES;11.869,80;11.869,80;11.869.800,00
8;ACTIVOS FINANCIEROS;22,8;22,8;22.800,00
83;Concesión de préstamos fuera del Sector Público;22,8;22,8;22.800,00
830;Préstamos a corto plazo;22,8;22,8;22.800,00
—;TOTAL PROGRAMA 141M;95.878,53;95.878,53;95.878.530,00
