;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 12 MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN;
;Programa: 143A Cooperación para el desarrollo;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;12.03;12.302;Total;
1;GASTOS DE PERSONAL;2.396,56;51.305,56;53.702,12;
10; Altos cargos;141,34;109,45;250,79;
11; Personal eventual;256,06;;256,06;
12; Funcionarios;1.610,44;15.390,82;17.001,26;
13; Laborales;159,08;25.008,41;25.167,49;
15; Incentivos al rendimiento;;1.217,48;1.217,48;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;229,64;9.579,40;9.809,04;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.271,08;39.781,22;42.052,30;
20; Arrendamientos y cánones;;4.009,91;4.009,91;
21; Reparaciones, mantenimiento y conservación;;1.471,21;1.471,21;
22; Material, suministros y otros;1.831,29;30.779,95;32.611,24;
23; Indemnizaciones por razón del servicio;439,79;3.320,15;3.759,94;
24; Gastos de publicaciones;;200,00;200,00;
3;GASTOS FINANCIEROS;;44,70;44,70;
35; Intereses de demora y otros gastos financieros;;44,70;44,70;
4;TRANSFERENCIAS CORRIENTES;49.964,00;555.559,90;605.523,90;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;5.000,00;7.933,00;12.933,00;
46; A Entidades Locales;;55,00;55,00;
48; A familias e instituciones sin fines de lucro;1.229,00;133.903,19;135.132,19;
49; Al exterior;43.735,00;413.668,71;457.403,71;
6;INVERSIONES REALES;;7.255,15;7.255,15;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;2.996,86;2.996,86;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;4.258,29;4.258,29;
7;TRANSFERENCIAS DE CAPITAL;10.000,00;45.157,02;55.157,02;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;10.000,00;;10.000,00;
79; Al exterior;;45.157,02;45.157,02;
8;ACTIVOS FINANCIEROS;234.230,00;86,00;234.316,00;
83; Concesión de préstamos fuera del Sector Público;;71,00;71,00;
84; Constitución de depósitos y fianzas;;15,00;15,00;
87; Aportaciones patrimoniales;234.230,00;;234.230,00;
;TOTAL;298.861,64;699.189,55;998.051,19;
;;



