Económica;Explicación;Total (miles euros);Total (euros)
1;Gastos de Personal;19.033,69;19.033.690,00
10;Altos cargos;334,53;334.530,00
11;Personal eventual;256,06;256.060,00
12;Funcionarios;13.992,37;13.992.370,00
13;Laborales;3.000,09;3.000.090,00
16;Cuotas, prestaciones y gastos sociales;1.450,64;1.450.640,00
16000;Seguridad Social;1.244,56;1.244.560,00
16200;Formación y perfeccionamiento del personal;14,32;14.320,00
2;Gastos Corrientes en Bienes y Servicios;4.174,83;4.174.830,00
20;Arrendamientos y cánones;13,8;13.800,00
202;Arrendamientos de edificios;3,4;3.400,00
21;Reparaciones, mantenimiento y conservación;403,57;403.570,00
22;Material, suministros y otros;2.628,31;2.628.310,00
22601;Atenciones protocolarias y representativas;21,06;21.060,00
22610;Gastos de representación de Embajadores y Jefes de Misión;75,9;75.900,00
23;Indemnizaciones por razón del servicio;1.129,15;1.129.150,00
3;Gastos Financieros;0,89;890
35;Intereses de demora y otros gastos financieros;0,89;890
359;Otros gastos financieros;0,89;890
4;Transferencias Corrientes;684,56;684.560,00
48;A familias e instituciones sin fines de lucro;684,56;684.560,00
481;Consejo Federal Español del Movimiento Europeo;73,56;73.560,00
48104;Liga Europea de Cooperación Económica;11;11.000,00
488;Actividades de promoción de asuntos de la Unión Europea;600;600.000,00
6;Inversiones Reales;505,78;505.780,00
—;TOTAL PROGRAMA 142B;24.399,75;24.399.750,00
