;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Organismo: 101 INSTITUTO DE ESTUDIOS FISCALES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;INSTITUTO DE ESTUDIOS FISCALES;;;
v;462N;;Investigación y estudios estadísticos y económicos;;;
v;;1;GASTOS DE PERSONAL;;;
;;10;Altos cargos;;61,05;
;;100;Retribuciones básicas y otras remuneraciones;;61,05;
;;10000;  Retribuciones básicas;18,92;;
;;10001;  Retribuciones complementarias;42,13;;
;;12;Funcionarios;;3.237,17;
;;120;Retribuciones básicas;;1.463,09;
;;12000;  Sueldos del grupo A1 y grupo A;401,33;;
;;12001;  Sueldos del grupo A2 y grupo B;282,76;;
;;12002;  Sueldos del grupo C1 y grupo C;106,15;;
;;12003;  Sueldos del grupo C2 y grupo D;128,50;;
;;12005;  Trienios;282,34;;
;;12006;  Pagas extraordinarias;262,01;;
;;121;Retribuciones complementarias;;1.774,08;
;;12100;  Complemento de destino;688,12;;
;;12101;  Complemento específico;1.085,96;;
;;13;Laborales;;603,77;
;;130;Laboral fijo;;603,77;
;;13000;  Retribuciones básicas;592,89;;
;;13001;  Otras remuneraciones;10,88;;
v;;15;Incentivos al rendimiento;;671,96;
v;;150;Productividad;;671,96;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;387,25;
;;160;Cuotas sociales;;353,93;
v;;16000;  Seguridad Social;353,93;;
;;162;Gastos sociales del personal;;33,32;
v;;16200;  Formación y perfeccionamiento del personal;17,00;;
v;;16204;  Acción social;11,34;;
;;16205;  Seguros;4,98;;
;;;TOTAL GASTOS DE PERSONAL;;4.961,20;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;21;Reparaciones, mantenimiento y conservación;;82,11;
;;210;Infraestructura y bienes naturales;;8,26;
;;212;Edificios y otras construcciones;;37,26;
;;213;Maquinaria, instalaciones y utillaje;;21,67;
;;215;Mobiliario y enseres;;7,15;
;;216;Equipos para procesos de la información;;7,77;
;;22;Material, suministros y otros;;414,22;
;;220;Material de oficina;;93,55;
;;22000;  Ordinario no inventariable;16,16;;
;;22001;  Prensa, revistas, libros y otras publicaciones;1,44;;
;;22002;  Material informático no inventariable;75,95;;
;;221;Suministros;;122,48;
;;22100;  Energía eléctrica;60,30;;
;;22101;  Agua;9,27;;
;;22103;  Combustible;46,75;;
;;22111;  Suministros de repuestos de maquinaria, utillaje y elementos de transporte;3,08;;
;;22112;  Suministros de material electrónico, eléctrico y de comunicaciones;3,08;;
;;223;Transportes;;2,50;
;;226;Gastos diversos;;119,71;
v;;22601;  Atenciones protocolarias y representativas;2,34;;
;;22602;  Publicidad y propaganda;1,08;;
;;22606;  Reuniones, conferencias y cursos;115,36;;
;;22699;  Otros;0,93;;
;;227;Trabajos realizados por otras empresas y profesionales;;75,98;
;;22706;  Estudios y trabajos técnicos;68,23;;
;;22799;  Otros;7,75;;
;;23;Indemnizaciones por razón del servicio;;104,59;
;;230;Dietas;;13,83;
;;231;Locomoción;;16,20;
;;233;Otras indemnizaciones;;74,56;
;;24;Gastos de publicaciones;;107,97;
;;240;Gastos de edición y distribución;;107,97;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;708,89;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;186,19;
v;;480;Becas;;186,19;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;186,19;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;20,00;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;20,00;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;160,00;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;160,00;
;;64;Gastos de inversiones de carácter inmaterial;;440,00;
;;640;Gastos en inversiones de carácter inmaterial;;440,00;
;;;TOTAL INVERSIONES REALES;;620,00;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;35,74;
v;;830;Préstamos a corto plazo;;35,74;
;;83008;  Familias e instituciones sin fines de lucro;35,74;;
;;;TOTAL ACTIVOS FINANCIEROS;;35,74;
 ; ;;;;;
;;;TOTAL Investigación y estudios estadísticos y económicos;;6.512,02;
 ; ;;;;;
 ; ;;;;;
v;92SC;;C19.I03 Competencias digitales para el empleo. Servicios de carácter general;;;
;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;29;Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;;2.941,00;
;;290;Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;;2.941,00;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.941,00;
 ; ;;;;;
