;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Organismo: 103 CENTRO DE ESTUDIOS POLÍTICOS Y CONSTITUCIONALES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;CENTRO DE ESTUDIOS POLÍTICOS Y CONSTITUCIONALES;;;
v;462M;;Investigación y estudios sociológicos y constitucionales;;;
v;;1;GASTOS DE PERSONAL;;;
;;10;Altos cargos;;61,05;
;;100;Retribuciones básicas y otras remuneraciones;;61,05;
;;10000;  Retribuciones básicas;18,92;;
;;10001;  Retribuciones complementarias;42,13;;
;;12;Funcionarios;;1.359,04;
;;120;Retribuciones básicas;;689,08;
;;12000;  Sueldos del grupo A1 y grupo A;126,35;;
;;12001;  Sueldos del grupo A2 y grupo B;109,25;;
;;12002;  Sueldos del grupo C1 y grupo C;106,15;;
;;12003;  Sueldos del grupo C2 y grupo D;96,38;;
;;12005;  Trienios;118,34;;
;;12006;  Pagas extraordinarias;127,36;;
;;12007;  Otras retribuciones básicas;5,25;;
;;121;Retribuciones complementarias;;669,96;
;;12100;  Complemento de destino;292,12;;
;;12101;  Complemento específico;377,84;;
;;13;Laborales;;603,06;
;;130;Laboral fijo;;346,61;
;;13000;  Retribuciones básicas;327,85;;
;;13001;  Otras remuneraciones;18,76;;
;;131;Laboral eventual;;256,45;
v;;15;Incentivos al rendimiento;;181,39;
v;;150;Productividad;;163,07;
v;;151;Gratificaciones;;18,32;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;413,77;
;;160;Cuotas sociales;;344,29;
v;;16000;  Seguridad Social;344,29;;
;;162;Gastos sociales del personal;;69,48;
v;;16200;  Formación y perfeccionamiento del personal;3,67;;
v;;16204;  Acción social;65,81;;
;;;TOTAL GASTOS DE PERSONAL;;2.618,31;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;4,00;
;;205;Arrendamientos de mobiliario y enseres;;4,00;
;;21;Reparaciones, mantenimiento y conservación;;166,00;
;;212;Edificios y otras construcciones;;70,00;
;;213;Maquinaria, instalaciones y utillaje;;5,00;
;;215;Mobiliario y enseres;;1,00;
;;216;Equipos para procesos de la información;;90,00;
;;22;Material, suministros y otros;;877,60;
;;220;Material de oficina;;110,13;
;;22000;  Ordinario no inventariable;20,00;;
;;22001;  Prensa, revistas, libros y otras publicaciones;60,00;;
;;22002;  Material informático no inventariable;30,13;;
;;221;Suministros;;88,19;
;;22100;  Energía eléctrica;60,00;;
;;22101;  Agua;3,00;;
;;22103;  Combustible;22,00;;
;;22104;  Vestuario;1,99;;
;;22106;  Productos farmacéuticos y material sanitario;0,20;;
