;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 02 CORTES GENERALES;
;Programa: 911N Actividad legislativa;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;02.01;02.02;02.03;02.04;02.05;Total;
1;GASTOS DE PERSONAL;65.470,12;50.454,10;31.327,92;3,90;16.965,50;164.221,54;
10; Altos cargos;;22.371,60;17.301,83;;555,60;40.229,03;
11; Personal eventual;;13.197,50;4.104,99;;;17.302,49;
12; Funcionarios;51.525,12;1.968,60;;;12.456,90;65.950,62;
13; Laborales;;6.192,40;5.818,87;;650,00;12.661,27;
14; Otro personal;;;;;325,50;325,50;
15; Incentivos al rendimiento;90,00;100,00;899,67;;1,00;1.090,67;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;13.855,00;6.624,00;3.202,56;3,90;2.976,50;26.661,96;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.886,87;45.418,00;22.018,83;432,74;2.888,10;73.644,54;
20; Arrendamientos y cánones;0,64;505,05;553,95;0,04;203,10;1.262,78;
21; Reparaciones, mantenimiento y conservación;;6.135,20;699,94;;678,50;7.513,64;
22; Material, suministros y otros;2.562,93;27.777,55;11.981,11;46,20;1.898,50;44.266,29;
23; Indemnizaciones por razón del servicio;151,00;10.571,50;8.503,03;386,50;98,00;19.710,03;
24; Gastos de publicaciones;172,30;428,70;280,80;;10,00;891,80;
3;GASTOS FINANCIEROS;3,50;4,00;388,00;0,20;2,50;398,20;
34; De depósitos y fianzas;3,50;4,00;;0,20;2,50;10,20;
35; Intereses de demora y otros gastos financieros;;;388,00;;;388,00;
4;TRANSFERENCIAS CORRIENTES;3.692,36;11.854,30;7.826,44;41,93;164,70;23.579,73;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;;37,50;;;37,50;
48; A familias e instituciones sin fines de lucro;2.992,36;11.854,30;7.786,75;41,93;151,40;22.826,74;
49; Al exterior;700,00;;2,19;;13,30;715,49;
6;INVERSIONES REALES;;2.690,90;2.525,26;;897,00;6.113,16;
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;;;;;5,00;5,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;463,15;298,60;;33,50;795,25;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.071,00;1.576,51;;8,50;2.656,01;
64; Gastos de inversiones de carácter inmaterial;;1.156,75;650,15;;850,00;2.656,90;
8;ACTIVOS FINANCIEROS;;;25,00;;;25,00;
83; Concesión de préstamos fuera del Sector Público;;;25,00;;;25,00;
9;PASIVOS FINANCIEROS;;;25,00;;;25,00;
94; Devolución de depósitos y fianzas;;;25,00;;;25,00;
;TOTAL;72.052,85;110.421,30;64.136,45;478,77;20.917,80;268.007,17;
;;



