Programa;Orgánica;Económica;Explicación;Total (mil €);Total (€)
941O;38.01;456;Compensación financiera al País Vasco por el Impuesto sobre las Labores de Tabaco;120.500,00;120.500.000,00 €
941O;38.01;458;Financiación estatal de la jubilación anticipada de la policía autónoma vasca;21.000,00;21.000.000,00 €
941O;38.02;458;Financiación estatal de la jubilación anticipada de los Mossos d’Esquadra;36.000,00;36.000.000,00 €
941O;38.13;458;Financiación estatal de la jubilación anticipada de la policía foral navarra;2.500,00;2.500.000,00 €
941O;38.20;456;Compensaciones a CC.AA. por LOFCA (art. 6.2), incluidas obligaciones de ejercicios anteriores;342.200,00;342.200.000,00 €
942M;38.21;460;Transferencias a Ayuntamientos;13.640.757,69;13.640.757.690,00 €
942M;38.21;461;Transferencias a Diputaciones y Cabildos Insulares;6.581.951,85;6.581.951.850,00 €
942M;38.21;468;Liquidación definitiva y compensaciones por el nuevo modelo de financiación local;569.866,18;569.866.180,00 €
942N;38.21;464;Compensación financiera a Ceuta y Melilla por garantía de recaudación del IPSI;142.535,00;142.535.000,00 €
942N;38.21;466;Compensación por beneficios fiscales en tributos locales derivados de normas estatales;77.784,43;77.784.430,00 €
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
