;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 8;
;;
;Sección: 32 MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;Total;
212A; Pensiones no contributivas y prestaciones asistenciales;4.100,00;4.100,00;
219N; Gestión de pensiones de Clases Pasivas;4.967,04;4.967,04;
231B; Acciones en favor de los emigrantes;60.502,19;60.502,19;
231G; Atención a la infancia y a las familias;1.800,00;1.800,00;
231H; Acciones en favor de los inmigrantes;745.412,85;745.412,85;
232E; Análisis y definición de objetivos y políticas de Inclusión;2.751,84;2.751,84;
291M; Dirección y Servicios Generales de la Inclusión, de la Seguridad Social y de la Migración;67.098,63;67.098,63;
;TOTAL CONSOLIDADO;886.632,55;886.632,55;
000X; Transferencias y libramientos internos;44.726.975,67;44.726.975,67;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;44.726.975,67;44.726.975,67;
;TOTAL;45.613.608,22;45.613.608,22;
;;



