;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;20.487.290,20;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.934.150,65;
3; GASTOS FINANCIEROS;31.329.770,86;
4; TRANSFERENCIAS CORRIENTES;142.200.635,89;
;TOTAL OPERACIONES CORRIENTES;198.951.847,60;
5; FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS;3.964.420,00;
;TOTAL FONDO DE CONTINGENCIA;3.964.420,00;
6; INVERSIONES REALES;11.079.852,79;
7; TRANSFERENCIAS DE CAPITAL;29.168.902,64;
;TOTAL OPERACIONES DE CAPITAL;40.248.755,43;
;TOTAL OPERACIONES NO FINANCIERAS;243.165.023,03;
8; ACTIVOS FINANCIEROS;40.135.454,61;
;TOTAL Capítulos 1-8;283.300.477,64;
9; PASIVOS FINANCIEROS;97.521.932,88;
;TOTAL Capítulo 9;97.521.932,88;
;TOTAL PRESUPUESTO;380.822.410,52;
4; TRANSFERENCIAS CORRIENTES;-43.806.306,91;
7; TRANSFERENCIAS DE CAPITAL;-6.810.093,24;
8; ACTIVOS FINANCIEROS;-10.007.970,12;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-60.624.370,27;
;TOTAL CONSOLIDADO;320.198.040,25;
;;



