Económica;Explicación;Total (miles euros=;Total (euros)
1;GASTOS DE PERSONAL;20.487.290,20;20.487.290.200,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.934.150,65;4.934.150.650,00
3;GASTOS FINANCIEROS;31.329.770,86;31.329.770.860,00
4;TRANSFERENCIAS CORRIENTES;142.200.635,89;142.200.635.890,00
—;TOTAL OPERACIONES CORRIENTES;198.951.847,60;198.951.847.600,00
5;FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS;3.964.420,00;3.964.420.000,00
—;TOTAL FONDO DE CONTINGENCIA;3.964.420,00;3.964.420.000,00
6;INVERSIONES REALES;11.079.852,79;11.079.852.790,00
7;TRANSFERENCIAS DE CAPITAL;29.168.902,64;29.168.902.640,00
—;TOTAL OPERACIONES DE CAPITAL;40.248.755,43;40.248.755.430,00
—;TOTAL OPERACIONES NO FINANCIERAS;243.165.023,03;243.165.023.030,00
8;ACTIVOS FINANCIEROS;40.135.454,61;40.135.454.610,00
—;TOTAL Capítulos 1–8;283.300.477,64;283.300.477.640,00
9;PASIVOS FINANCIEROS;97.521.932,88;97.521.932.880,00
—;TOTAL Capítulo 9;97.521.932,88;97.521.932.880,00
—;TOTAL PRESUPUESTO;380.822.410,52;380.822.410.520,00
4;TRANSFERENCIAS CORRIENTES;–43.806.306,91;–43.806.306.910,00
7;TRANSFERENCIAS DE CAPITAL;–6.810.093,24;–6.810.093.240,00
8;ACTIVOS FINANCIEROS;–10.007.970,12;–10.007.970.120,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–60.624.370,27;–60.624.370.270,00
;TOTAL CONSOLIDADO;320.198.040,25;320.198.040.250,00
