;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 07 CLASES PASIVAS;
;Programa: 211B Pensiones de Clases Pasivas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
07.01;;PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;20.369.000,89;
;482;Prestaciones sociales;;20.369.000,89;
;;TOTAL TRANSFERENCIAS CORRIENTES;;20.369.000,89;
 ; ;;;;
;;TOTAL PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS;;20.369.000,89;
 ; ;;;;
 ; ;;;;
;;TOTAL Pensiones de Clases Pasivas;;20.369.000,89;
;;



