Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
33.06;10;Altos cargos;263,42;263.420,00
33.06;11;Personal eventual;253,4;253.400,00
33.06;12;Funcionarios;10.630,58;10.630.580,00
33.06;13;Laborales;105,52;105.520,00
33.06;15;Incentivos al rendimiento;3.079,44;3.079.440,00
33.06;150;Productividad;2.235,40;2.235.400,00
33.06;151;Gratificaciones;48,19;48.190,00
33.06;155;Participación en programas de calidad (RD 951/2005);795,85;795.850,00
33.06;16;Cuotas, prestaciones y gastos sociales;1.052,14;1.052.140,00
33.06;16000;Seguridad Social;1.052,14;1.052.140,00
—;—;Total Gastos de Personal;15.384,50;15.384.500,00
33.06;20;Arrendamientos y cánones;180,00;180.000,00
33.06;202;Arrendamientos de edificios y otras construcciones;180;180.000,00
33.06;21;Reparaciones, mantenimiento y conservación;5,03;5.030,00
33.06;22;Material, suministros y otros;567,94;567.940,00
33.06;22601;Atenciones protocolarias y representativas;16,38;16.380,00
33.06;23;Indemnizaciones por razón del servicio;252,75;252.750,00
—;—;Total Gastos Corrientes en Bienes y Servicios;1.005,72;1.005.720,00
33.06;47;A empresas privadas – Cuotas Nacionales;13,24;13.240,00
33.06;48;A familias e instituciones sin fines de lucro;1.233,95;1.233.950,00
33.06;482;Apoyo a negociación colectiva (Organizaciones Sindicales);1.218,65;1.218.650,00
33.06;486;Pensiones a funcionarios y protección familiar;15,30;15.300,00
33.06;49;Al exterior – Contribución a Open Government Partnership (OGP);94,00;94.000,00
—;—;Total Transferencias Corrientes;1.341,19;1.341.190,00
33.06;6;Inversiones reales;876;876.000,00
—;—;TOTAL 33.06 – Secretaría de Estado de Función Pública;18.607,41;18.607.410,00
