;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 46NB C14.I02 Programa de digitalización e inteligencia para destinos y sector turístico. I+D+i+Digitalización;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;33.50;;Total;
7;TRANSFERENCIAS DE CAPITAL;100.000,00;;100.000,00;
77; A empresas privadas;100.000,00;;100.000,00;
;TOTAL;100.000,00;;100.000,00;
;;



