;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 491M Ordenación y promoción de las telecomunicaciones y de la Sociedad de la Información;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;33.03;;Total;
1;GASTOS DE PERSONAL;17.278,47;;17.278,47;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;12.973,68;;12.973,68;
13; Laborales;2.481,89;;2.481,89;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.761,86;;1.761,86;
4;TRANSFERENCIAS CORRIENTES;2.714,78;;2.714,78;
48; A familias e instituciones sin fines de lucro;30,00;;30,00;
49; Al exterior;2.684,78;;2.684,78;
6;INVERSIONES REALES;15.260,69;;15.260,69;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.602,48;;1.602,48;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;60,50;;60,50;
64; Gastos de inversiones de carácter inmaterial;13.597,71;;13.597,71;
7;TRANSFERENCIAS DE CAPITAL;250,00;;250,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;250,00;;250,00;
8;ACTIVOS FINANCIEROS;2.000,00;;2.000,00;
87; Aportaciones patrimoniales;2.000,00;;2.000,00;
;TOTAL;37.503,94;;37.503,94;
;;



