;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;33.06;33.50;33.102;;;Total;
4;TRANSFERENCIAS CORRIENTES;28.173,32;450,00;432,02;;;29.055,34;
40; A la Administración del Estado;;;432,02;;;432,02;
41; A Organismos Autónomos;25.483,26;450,00;;;;25.933,26;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;2.690,06;;;;;2.690,06;
7;TRANSFERENCIAS DE CAPITAL;3.448,49;1.834,46;;;;5.282,95;
71; A Organismos Autónomos;3.394,49;1.834,46;;;;5.228,95;
73; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;54,00;;;;;54,00;
;TOTAL;31.621,81;2.284,46;432,02;;;34.338,29;
;;



