Económica;Explicación;33.01 ;33.02 ;33.03 ;33.04 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;10.094,98;1.760,34;2.046,31;3.536,03;17.437,66;17.437.660,00
10;Altos cargos;208,56;61,04;80,3;141,34;491,24;491.240,00
11;Personal eventual;521,72;;270,97;262,18;1.054,87;1.054.870,00
12;Funcionarios;6.443,18;1.451,53;445,77;937,41;9.277,89;9.277.890,00
13;Laborales;229,44;46,28;;;275,72;275.720,00
15;Incentivos al rendimiento;1.746,54;;1.090,65;2.042,18;4.879,37;4.879.370,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;945,54;201,49;158,62;152,92;1.458,57;1.458.570,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;14.613,85;56;1.958,53;924,08;17.552,46;17.552.460,00
20;Arrendamientos y cánones;6.961,62;;120;;7.081,62;7.081.620,00
21;Reparaciones, mantenimiento y conservación;342,62;;;;342,62;342.620,00
22;Material, suministros y otros;7.163,61;28;1.500,65;586,58;9.278,84;9.278.840,00
23;Indemnizaciones por razón del servicio;146;10;337,88;337,5;831,38;831.380,00
24;Gastos de publicaciones;;18;;;18;18.000,00
6;INVERSIONES REALES;2.254,08;;;;2.254,08;2.254.080,00
62;Inversión nueva asociada al funcionamiento operativo;203,28;;;;203,28;203.280,00
63;Inversión de reposición asociada al funcionamiento operativo;584,54;;;;584,54;584.540,00
64;Gastos de inversiones de carácter inmaterial;1.466,26;;;;1.466,26;1.466.260,00
8;ACTIVOS FINANCIEROS;12,22;;;;12,22;12.220,00
83;Concesión de préstamos fuera del Sector Público;12,22;;;;12,22;12.220,00
—;TOTAL PROGRAMA 461N;26.975,13;1.816,34;4.004,84;4.460,11;37.256,42;37.256.420,00
