Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
33.01;10;Altos cargos;208,56;208.560,00
33.01;11;Personal eventual;521,72;521.720,00
33.01;12;Funcionarios;6.443,18;6.443.180,00
33.01;13;Laborales;229,44;229.440,00
33.01;15;Incentivos al rendimiento;1.746,54;1.746.540,00
33.01;150;Productividad;1.739,15;1.739.150,00
33.01;151;Gratificaciones;7,39;7.390,00
33.01;16;Cuotas, prestaciones y gastos sociales;945,54;945.540,00
33.01;16000;Seguridad Social;637,04;637.040,00
33.01;16200;Formación y perfeccionamiento del personal;65;65.000,00
33.01;16201;Economatos y comedores;22,5;22.500,00
33.01;16204;Acción social;200;200.000,00
33.01;20;Arrendamientos y cánones;6.961,62;6.961.620,00
33.01;202;Arrendamientos de edificios y otras construcciones;6.956,62;6.956.620,00
33.01;21;Reparaciones, mantenimiento y conservación;342,62;342.620,00
33.01;22;Material, suministros y otros;7.163,61;7.163.610,00
33.01;22502;Locales;589,54;589.540,00
33.01;22601;Atenciones protocolarias y representativas;10,00;10.000,00
33.01;23;Indemnizaciones por razón del servicio;146;146.000,00
33.01;6;Inversiones reales;2.254,08;2.254.080,00
33.01;83;Concesión de préstamos fuera del Sector Público;12,22;12.220,00
33.01;830;Préstamos a corto plazo;1,63;1.630,00
33.01;831;Préstamos a largo plazo;10,59;10.590,00
—;—;Total 33.01 – Ministerio, Subsecretaría y Servicios Generales;26.975,13;26.975.130,00
33.02;10;Altos cargos;61,04;61.040,00
33.02;12;Funcionarios;1.451,53;1.451.530,00
33.02;13;Laborales;46,28;46.280,00
33.02;16;Seguridad Social;201,49;201.490,00
33.02;22;Material, suministros y otros;28;28.000,00
33.02;22601;Atenciones protocolarias y representativas;1,00;1.000,00
33.02;23;Indemnizaciones por razón del servicio;10;10.000,00
33.02;24;Gastos de publicaciones;18;18.000,00
—;—;Total 33.02 – Secretaría General Técnica;1.816,34;1.816.340,00
33.03;10;Altos cargos;80,3;80.300,00
33.03;11;Personal eventual;270,97;270.970,00
33.03;12;Funcionarios;445,77;445.770,00
33.03;15;Incentivos al rendimiento;1.090,65;1.090.650,00
33.03;150;Productividad;1.064,57;1.064.570,00
33.03;151;Gratificaciones;26,08;26.080,00
33.03;16;Cuotas, prestaciones y gastos sociales;158,62;158.620,00
33.03;16000;Seguridad Social;158,62;158.620,00
—;—;Total Gastos de Personal;2.046,31;2.046.310,00
33.03;20;Arrendamientos y cánones;120,00;120.000,00
33.03;22;Material, suministros y otros;1.500,65;1.500.650,00
33.03;22601;Atenciones protocolarias;3;3.000,00
33.03;23;Indemnizaciones por razón del servicio;337,88;337.880,00
—;—;Total Gastos Corrientes;1.958,53;1.958.530,00
—;—;Total 33.03 – Secretaría de Estado de Telecomunicaciones;4.004,84;4.004.840,00
33.04;10;Altos cargos;141,34;141.340,00
33.04;11;Personal eventual;262,18;262.180,00
33.04;12;Funcionarios;937,41;937.410,00
33.04;15;Incentivos al rendimiento;2.042,18;2.042.180,00
33.04;150;Productividad;2.042,18;2.042.180,00
33.04;16;Cuotas, prestaciones y gastos sociales;152,92;152.920,00
33.04;16000;Seguridad Social;152,92;152.920,00
—;—;Total Gastos de Personal;3.536,03;3.536.030,00
33.04;22;Material, suministros y otros;586,58;586.580,00
33.04;22601;Atenciones protocolarias;5;5.000,00
33.04;23;Indemnizaciones por razón del servicio;337,5;337.500,00
—;—;Total Gastos Corrientes;924,08;924.080,00
—;—;Total 33.04 – Secretaría de Estado de Digitalización e IA;4.460,11;4.460.110,00
—;—;33.01 Ministerio, Subsecretaría y Servicios Generales;26.975,13;26.975.130,00
—;—;33.02 Secretaría General Técnica;1.816,34;1.816.340,00
—;—;33.03 Secretaría de Estado de Telecomunicaciones e Infraestructuras Digitales;4.004,84;4.004.840,00
—;—;33.04 Secretaría de Estado de Digitalización e Inteligencia Artificial;4.460,11;4.460.110,00
—;—;—;37.256,42;37.256.420,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
; ; ;;
; ; ;;
